"from_symbol","to_symbol","combined_score"
"PIGQ","CDIPT",0.813
"PIGQ","PIGL",0.996
"CDH17","VCL",0.99
"CDH17","FN1",0.804
"CDH17","CDH2",0.708
"CDH17","IQGAP1",0.776
"CDH17","SRC",0.787
"CDH17","DSP",0.927
"CDH17","PSEN1",0.925
"CDH17","CDH1",0.702
"CDH17","EGF",0.763
"CDH17","EGFR",0.82
"CDH17","CTNND1",0.999
"CDH17","PKP4",0.753
"CDH17","CTNNA1",0.983
"CDH17","SNAI1",0.701
"CDH17","ERBB2",0.74
"CDH17","OLFM4",0.826
"B4GALT7","B3GAT3",0.882
"CHPF2","CSGALNACT2",0.936
"CHPF2","CHSY1",0.802
"CHPF2","CHPF",0.894
"GABARAPL2","GABARAP",0.964
"GABARAPL2","HSP90AB1",0.745
"GABARAPL2","SQSTM1",0.999
"GABARAPL2","SIRT1",0.974
"GABARAPL2","ATG5",0.999
"GABARAPL2","BNIP3",0.997
"GABARAPL2","TBC1D15",0.983
"GABARAPL2","BECN1",0.992
"GABARAPL2","NEDD8",0.71
"GABARAPL2","UBA3",0.747
"GABARAPL2","PRKACG",0.937
"GABARAPL2","PRKACA",0.938
"GABARAPL2","TBC1D17",0.972
"GABARAPL2","PIK3R4",0.912
"GABARAPL2","MTOR",0.706
"GABARAPL2","GOSR1",0.774
"GABARAPL2","NIPSNAP1",0.771
"GABARAPL2","ATG14",0.994
"GABARAPL2","PIK3C3",0.984
"MYOC","FN1",0.777
"OTC","ARG1",0.993
"OTC","CS",0.706
"OTC","ARG2",0.993
"OTC","PYGM",0.836
"OTC","CAD",0.975
"OTC","PYGB",0.836
"OTC","PYGL",0.84
"OTC","NOS3",0.923
"OTC","OAT",0.989
"OTC","ASL",0.963
"TARBP1","MTREX",0.832
"TARBP1","UTP20",0.824
"TARBP1","PDCD11",0.72
"TARBP1","CCT4",0.842
"PSMA4","PSME2",0.99
"PSMA4","PSMD8",0.999
"PSMA4","CCT8",0.731
"PSMA4","NFKBIA",0.772
"PSMA4","CCT2",0.731
"PSMA4","PSMA3",0.999
"PSMA4","NEDD8",0.765
"PSMA4","CSF3",0.836
"PSMA4","SKP1",0.718
"PSMA4","PSMD7",0.999
"PSMA4","PSMD5",0.74
"PSMA4","PSMA6",0.999
"PSMA4","VCP",0.821
"PSMA4","PSMB7",0.999
"PSMA4","PSMG2",0.971
"PSMA4","PSMA2",0.999
"PSMA4","RBX1",0.716
"PSMA4","UBXN7",0.733
"PSMA4","PSMC2",0.999
"PSMA4","PSMC4",0.999
"PSMA4","PSMC5",0.999
"PSMA4","UBA52",0.943
"LCP2","LAT",0.999
"LCP2","HCLS1",0.715
"LCP2","CRKL",0.759
"LCP2","FYN",0.993
"LCP2","TYROBP",0.96
"LCP2","RASGRP1",0.765
"LCP2","PLCG1",0.999
"LCP2","CD3D",0.907
"LCP2","APBB1IP",0.701
"LCP2","HCK",0.802
"LCP2","GRB2",0.999
"LCP2","IL2",0.798
"LCP2","SOS2",0.712
"LCP2","GP6",0.78
"LCP2","RAP1A",0.925
"LCP2","SYK",0.999
"LCP2","FCER1G",0.857
"LCP2","ZAP70",0.999
"LCP2","VASP",0.776
"LCP2","SRC",0.969
"LCP2","CBL",0.981
"LCP2","WAS",0.979
"DCN","THBS2",0.72
"DCN","MMP14",0.859
"DCN","FGF2",0.834
"DCN","RETN",0.887
"DCN","ERBB2",0.958
"DCN","COL6A1",0.824
"DCN","TLR4",0.988
"DCN","MMP2",0.866
"DCN","PDGFRA",0.826
"DCN","POSTN",0.758
"DCN","EGFR",0.999
"DCN","VTN",0.945
"DCN","MMP3",0.765
"DCN","FGF22",0.94
"DCN","LUM",0.978
"DCN","TGFB1",0.999
"DCN","FN1",0.996
"DCN","CHSY1",0.733
"DCN","SPARC",0.905
"DCN","TLR2",0.99
"DCN","SPP1",0.768
"DCN","FGF20",0.938
"DCN","EGF",0.917
"DCN","YBX1",0.989
"DCN","COL3A1",0.935
"DCN","SDC2",0.712
"DCN","ERBB3",0.913
"DCN","THBS1",0.854
"DCN","COL1A1",0.923
"TNFRSF17","CD19",0.765
"TNFRSF17","CD79A",0.793
"TNFRSF17","JCHAIN",0.872
"TNFRSF17","CD38",0.773
"TNFRSF17","CD40",0.813
"TNFRSF17","CD27",0.825
"GUCA1A","GUF1",0.833
"GUCA1A","GUCY2F",0.982
"GRN","VCP",0.762
"GRN","TARDBP",0.958
"GRN","CS",0.807
"GRN","SLC25A1",0.803
"GRN","CTSD",0.866
"GRN","POLE2",0.797
"GRN","TNFRSF1A",0.803
"VAMP3","VAMP4",0.701
"VAMP3","PICALM",0.737
"VAMP3","STX6",0.999
"VAMP3","CD9",0.797
"VAMP3","YKT6",0.852
"VAMP3","NAPA",0.974
"VAMP3","RAB8A",0.806
"VAMP3","STX1A",0.999
"VAMP3","SNAP29",0.985
"VAMP3","TGOLN2",0.841
"VAMP3","STX2",0.997
"VAMP3","RAB11A",0.871
"VAMP3","SNX4",0.917
"VAMP3","GOSR1",0.92
"VAMP3","TFRC",0.829
"VAMP3","BET1",0.868
"VAMP3","STX11",0.92
"VAMP3","STX8",0.936
"VAMP3","BNIP1",0.751
"VAMP3","VAMP2",0.995
"VAMP3","STX5",0.914
"UTS2","SST",0.768
"RFC2","TOPBP1",0.889
"RFC2","UBE2B",0.803
"RFC2","RPA1",0.896
"RFC2","POLE",0.759
"RFC2","WRN",0.828
"RFC2","NBN",0.849
"RFC2","LIG1",0.808
"RFC2","POLE2",0.833
"RFC2","MCM4",0.828
"RFC2","POLA2",0.912
"RFC2","RFC4",0.999
"RFC2","MCM5",0.874
"RFC2","POLD3",0.778
"RFC2","BRD4",0.748
"RFC2","MCM6",0.827
"RFC2","CDC6",0.716
"RFC2","FEN1",0.939
"RFC2","PCNA",0.999
"RFC2","RNASEH2A",0.734
"RFC2","MCM7",0.894
"RFC2","ATM",0.894
"RFC2","CHEK1",0.86
"RFC2","RFC3",0.999
"RFC2","EXO1",0.893
"RFC2","BRCA1",0.94
"ARHGEF5","GRB2",0.806
"NFE2L3","JUN",0.727
"PKP2","CDH2",0.773
"PKP2","GJA1",0.973
"PKP2","SCN5A",0.976
"PKP2","PKP3",0.796
"PKP2","RYR2",0.828
"PKP2","DSP",0.999
"PKP2","DSG3",0.876
"PKP2","CTNNA1",0.721
"PKP2","PKP4",0.738
"INPP4A","PIKFYVE",0.943
"INPP4A","RAB5A",0.85
"INPP4A","PTEN",0.946
"INPP4A","PIK3R2",0.946
"INPP4A","PIK3C3",0.938
"INPP4A","PIK3R3",0.913
"GNA11","SRC",0.713
"GNA11","GNB5",0.833
"GNA11","PIK3CA",0.797
"GNA11","KIT",0.806
"GNA11","GNAQ",0.973
"GNA11","GNG3",0.823
"GNA11","GNB1",0.994
"GNA11","GNG11",0.7
"GNA11","EIF1AX",0.779
"GNA11","PLCB2",0.944
"GNA11","PLCG1",0.936
"GNA11","NRAS",0.793
"GNA11","PLCB1",0.973
"GNA11","GNGT1",0.768
"GNA11","CCR5",0.942
"GNA11","GNB3",0.813
"GNA11","BDKRB1",0.915
"HDAC7","YWHAQ",0.742
"HDAC7","RBBP4",0.728
"HDAC7","RBBP7",0.731
"HDAC7","SIRT1",0.802
"HDAC7","UBE2I",0.792
"HDAC7","H2AX",0.715
"HDAC7","EZH2",0.713
"HDAC7","EP300",0.94
"HDAC7","HDAC1",0.886
"HDAC7","KAT2A",0.761
"HDAC7","H2AZ1",0.739
"HDAC7","EGFR",0.711
"HDAC7","HDAC2",0.836
"HDAC7","FOXA1",0.976
"HDAC7","NCOR1",0.959
"HDAC7","CREBBP",0.712
"MRPS35","RSAD1",0.846
"MRPS35","MRPL33",0.992
"MRPS35","RPL4",0.828
"MRPS35","MRPS18A",0.991
"MRPS35","RPL8",0.812
"MRPS35","MRPL39",0.884
"MRPS35","MRPL12",0.918
"MRPS35","MRPS31",0.998
"MRPS35","MED1",0.824
"MRPS35","MRPS28",0.986
"MRPS35","MRPL17",0.995
"MRPS35","RPS2",0.922
"MRPS35","IMP3",0.851
"MRPS35","MRPL11",0.98
"MRPS35","TUFM",0.94
"MRPS35","MRPS12",0.998
"MRPS35","MRPS11",0.999
"MRPS35","MRPL2",0.98
"MRPS35","MRPL4",0.994
"MRPS35","MRPL57",0.844
"MRPS35","MRPL49",0.991
"MRPS35","PTCD3",0.999
"MRPS35","MRPS16",0.998
"MRPS35","RPL23",0.948
"MRPS35","MRPL3",0.995
"MRPS35","RPL10",0.704
"MRPS35","RPS16",0.81
"MRPS35","RPS14",0.831
"MRPS35","RPS23",0.863
"MRPS35","MRPL20",0.961
"MRPS35","DAP3",0.999
"MRPS35","RPL13A",0.819
"MRPS35","RPS9",0.936
"MRPS35","MRPS17",0.983
"MRPS35","MTIF2",0.951
"MRPS35","ACO2",0.867
"MRPS35","MRPL40",0.993
"MRPS35","MRPL15",0.94
"MRPS35","RPL3L",0.819
"MRPS35","MRPL24",0.896
"MRPS35","MRPL16",0.996
"MRPS35","MRPL34",0.988
"MRPS35","MRPS18C",0.994
"MRPS35","MRNIP",0.838
"MRPS35","RPS11",0.95
"MRPS35","MRPS34",0.99
"MRPS35","MRPL19",0.996
"MRPS35","MRPL58",0.929
"MRPS35","MRPL9",0.946
"MRPS35","RPL3",0.841
"MRPS35","MRPS18B",0.995
"MRPS35","MRPS15",0.999
"MRPS35","MRPS14",0.999
"MRPS35","MRPS7",0.997
"MRPS35","MRPL46",0.995
"MRPS35","MRPL48",0.857
"APPBP2","RBX1",0.904
"APPBP2","PRAME",0.917
"APPBP2","APP",0.936
"CD22","CD38",0.787
"CD22","CD37",0.71
"CD22","CD19",0.992
"CD22","GRB2",0.783
"CD22","CD81",0.847
"CD22","CD79A",0.985
"CD22","PAX5",0.796
"CD22","CD7",0.752
"CD22","SYK",0.959
"CD22","TNFRSF8",0.716
"CD22","CD69",0.726
"CD22","CXCR5",0.717
"CD22","GAL",0.762
"GSC2","SLC25A1",0.78
"ZFY","RPS4Y1",0.95
"ZFY","EIF1AY",0.965
"ZFY","KDM5D",0.971
"KCNQ1","CALML4",0.985
"KCNQ1","SCN5A",0.973
"KCNQ1","RYR2",0.727
"KCNQ1","PHLDA2",0.904
"KCNQ1","AKAP9",0.999
"KCNQ1","PRKACA",0.97
"KCNQ1","CALM3",0.999
"KCNQ1","PRKACG",0.959
"KCNQ1","KCNQ2",0.967
"KCNQ1","CALML5",0.988
"TRIB2","TRIM21",0.811
"TRIB2","UBE2E1",0.789
