""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"GCNT4",4.368264899,4.354301989,4.646783075,4.418658894,4.215503662,4.249896757,4.560742231,4.306081711,4.384627757,4.512866535,4.188027992,4.322382015,4.108698746,4.322858166,4.232780051,4.162092742
"CYP39A1",3.539052137,3.462286207,3.328676622,3.352628898,3.331446621,3.3025813,3.41799587,3.313835149,3.512650837,3.403213025,3.395341117,3.35430014,3.51997437,3.455838271,3.300453762,3.271302103
"FKBP11",9.350733559,9.32651901,9.119200852,9.211243022,9.402699015,9.174045813,8.953861926,9.070906672,9.102955518,9.477205955,9.400088508,9.440450676,9.5238332,9.575597118,9.635406163,9.829447944
"ZDHHC3",7.765615617,7.857831172,7.931944755,7.889412736,8.325210289,7.466981896,7.959866113,7.991240948,8.092494867,8.363149922,8.202092445,7.973015531,8.01271342,7.943206641,8.070322155,8.18211432
"FAM53C",10.71940893,10.75638743,10.8401141,10.73365681,10.70323096,10.40201109,10.89594439,10.8450045,10.79794244,10.64237049,10.43294071,10.4925391,10.63585099,10.38967524,10.42225998,10.36522201
"REEP2",6.362948593,6.226654089,6.71708635,6.160118414,6.238372136,6.504239436,6.383610491,6.43529176,6.253006532,6.328942855,6.545783671,6.348387215,6.523767091,6.224352668,6.213966413,6.299849014
"PCYT1A",6.268264005,6.502758823,6.08106526,6.305691914,6.254650814,5.457036193,6.799507626,6.556998185,6.826556707,6.584468641,6.268488978,6.42017563,6.077071512,6.21038239,6.401243116,6.188642018
"SLC22A17",5.776807062,5.681464194,6.120212445,5.797845362,5.851169591,5.624200773,5.684300999,5.658006276,5.225283419,5.591041731,5.464898918,5.670998066,5.970195356,5.739412943,5.549192322,5.994794544
"TLR8",8.949654774,9.428703856,9.603227586,9.641533707,9.197208266,9.005768989,10.40727696,9.933358628,9.472502022,8.443767612,8.880272103,9.393110689,7.916090797,8.980727499,9.076397327,8.358014022
"SLC25A37",13.15573233,13.4155606,13.11473743,13.04493435,13.3262762,13.07507353,13.37225374,13.56886746,13.44326353,13.05408584,13.24136556,13.07064861,12.98509604,13.5333484,13.14820274,13.23761676
"NME8",6.0097399,5.962810622,5.983167495,5.838783002,5.65277809,5.211522779,6.033406598,7.042443959,6.373007279,6.182150687,5.971871203,5.951797616,6.129710626,5.668738028,6.228153265,5.790543075
"PHF21A",10.10412872,10.3106376,10.4521515,10.52818399,10.04626792,10.14911553,11.16991756,10.9127554,10.8292972,10.63018474,10.125068,10.19752583,10.47375105,10.03380206,10.22721056,10.00428382
"MRPL35",6.811842977,6.774967721,6.339952947,7.151282811,6.626507748,8.443822046,6.656825792,5.731846734,5.99685064,6.691687304,6.244746324,6.533708637,6.492085517,6.812776793,6.972010865,6.516032661
"RSRC1",7.165114072,6.917020326,7.217671052,7.31891056,7.269681405,6.516380544,7.172043412,6.91395687,7.168506739,6.580937493,7.085890035,7.062244393,6.288680641,6.952698054,7.033654055,6.208799987
"MEX3C",7.184721107,7.173403056,6.728052354,6.934720518,7.115112779,6.191316874,6.438686995,6.578513849,6.763611971,6.926833092,7.106753427,6.796049186,7.209163328,6.960139386,7.038982404,7.303214877
"WAC",9.570547115,9.86431715,9.795809317,9.907397161,9.749567087,9.25395419,9.689471566,9.794519122,9.63329397,8.812581014,9.511223065,9.747368211,8.65465123,9.752711003,9.616532883,9.165807641
"SPG21",10.98365447,11.05272407,11.04118155,10.98457898,11.08984813,10.90916188,10.84481504,11.11022605,11.17179501,11.26093987,10.99167044,10.87416736,11.2375495,11.04734808,11.09208503,11.05930121
"AHSP",10.92835442,11.34998314,11.29005699,11.31796972,11.93685541,11.22953486,11.48418659,11.5341994,11.45128607,11.47476502,11.55922439,10.87588414,11.33211485,11.24839617,11.12116944,11.80414218
"ARL6IP4",8.649903763,8.661500695,8.72906226,8.804301573,8.981979347,8.701811708,8.412592724,8.433996879,8.696905526,8.935550487,8.818624557,8.722341284,8.91536387,8.947750168,8.991886071,9.163586516
"PDC",3.783866135,3.706447208,3.671484932,3.517695808,3.810345573,3.464567078,3.555855535,3.611958213,3.5436169,3.819536664,3.839847642,3.582253683,3.835898747,3.856302626,3.630191838,3.548575771
"TNFRSF12A",6.844840305,6.837603613,7.038354983,6.824974063,6.850523588,8.126669968,6.94676561,6.798665416,6.77859489,6.780149983,6.982944364,6.955936342,6.755353099,7.120119827,6.796359538,6.944878391
"SPTBN5",5.688476866,5.789048234,5.975271676,5.619358821,5.411358944,5.605755632,6.006509922,5.914282852,5.988377465,5.648817792,5.96722533,5.879695045,5.984802206,5.733310138,5.690231298,5.654721202
"NGRN",9.599706973,9.653493108,9.593578569,9.772873255,9.737770952,10.11873286,9.320724756,9.586928068,9.772809786,10.08043406,9.918270241,9.615787632,10.19859246,9.895675654,9.80250377,10.06244568
"MS4A4A",5.489008597,4.936888969,4.737868463,5.069050043,5.902403484,5.335382513,5.974208773,8.100999668,8.139192182,7.896814734,7.283892303,7.467345467,7.387687053,7.301637282,7.602421635,7.108488849
"DACT1",5.532900132,4.686164009,5.249712459,5.582983853,4.843157534,4.789516867,4.861339055,4.515070026,4.561419812,5.1342942,4.990487299,4.891924681,5.867882381,5.34393344,5.191637393,5.41009568
"PDCD1",6.283377773,6.244079218,6.639567391,6.077278442,6.276172403,6.080784511,6.402944711,6.235793666,5.960802424,6.282855814,6.487437852,6.095877561,6.282230249,5.982120748,5.941516488,6.148865328
"CRNKL1",7.853998557,8.072123782,7.829839441,8.114501426,8.047060891,7.4920326,8.08974582,8.065440479,8.12835867,8.238778509,7.89210382,7.896643338,8.27920385,7.715631118,8.013952203,7.937576537
"ZBTB7A",4.739830539,4.602734517,4.841816394,4.775693813,4.795161477,4.347951925,4.540010524,4.725929789,4.731391806,4.46031028,4.69707507,4.834453435,4.523471483,4.747249241,4.510303618,4.422405728
"FZR1",7.13736527,7.142196259,7.350533656,7.014734776,7.393779991,6.820689909,7.172372132,7.167921807,7.004233465,7.040370014,7.046587747,6.921109185,6.776359143,6.793607363,6.775084763,6.942025299
