""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"MAP3K10",7.28051286,7.115603207,7.156511487,7.042211245,7.26246656,6.775449573,6.926137538,7.256052476,6.971205521,6.991578944,6.963972941,7.100694212,7.008922375,7.04381795,7.183199309,7.031905364
"MLN",5.89645482,5.738015759,5.494230806,5.420510376,5.964837331,5.277037131,5.478947646,5.651000101,5.415438197,5.600106796,5.571686297,5.562865357,5.68003246,5.676356391,5.676944747,5.514963463
"MAP3K11",9.973380647,10.01369722,9.693248239,9.241807881,9.276399486,9.179050707,9.143271376,9.665974624,9.219866435,9.26060887,9.477983939,9.462563571,9.214155326,9.42667912,9.215562253,9.477577126
"KMT2A",7.601446093,7.672792366,7.66703399,7.510969736,7.734393006,7.643262187,7.812332263,7.804834462,7.862259867,7.995393633,7.838977299,7.710458849,7.697474803,7.621930953,7.599924211,7.865766194
"MLLT1",3.947367118,3.93158083,3.660605281,3.711447246,4.348248241,3.798518368,3.89293333,3.860618956,3.791434858,3.710017245,3.991388374,3.717726876,3.920808366,3.718247976,3.709177419,3.730186125
"AFF1",6.361592947,5.950845728,5.794593483,5.581474474,6.194298288,5.756830471,5.967623101,6.190317827,6.009531976,6.07451004,6.208402019,6.072352532,5.935206133,6.216246799,5.972200331,5.965428036
"ASCL1",4.309506251,4.199342182,4.161830404,4.212759802,4.237974905,4.004415428,4.13536845,4.146732569,4.034710073,4.200335164,4.081836947,4.178623382,4.080677064,4.139872249,4.161224207,4.22919751
"MLLT3",5.61017675,5.712688334,6.131513714,6.581968603,5.805716843,6.920215737,6.709804527,6.207627886,6.423678929,6.57366326,6.139592581,6.235021229,6.689284901,6.09036076,6.52199119,6.584704148
"AFDN",4.433525793,4.239683152,4.030006354,4.13877111,4.404773825,3.986394352,4.165359386,4.360895623,4.097231842,4.164826795,4.121261469,4.287495373,4.221685504,4.204945162,4.163213222,4.162855337
"FOXO4",6.888299688,6.930009858,6.429875562,6.651022573,6.989467123,6.267598463,6.374438645,7.034238255,6.669364652,6.685686194,6.922445944,7.021113682,6.617452785,6.995507289,7.09782988,7.017131779
"NR3C2",6.451534774,6.930402533,7.313493087,7.229823913,6.868387325,7.851810617,7.489590597,6.800656298,7.270498105,7.235056801,6.957802452,7.246573157,7.482223941,7.091845777,7.098507394,7.535754295
"TRPM1",3.978069414,3.929285433,3.946732658,3.825278014,3.883320948,3.773278397,3.711143988,3.900741896,3.711314865,3.663498796,3.5566658,3.862826521,3.752794537,3.485202336,3.622084556,3.550327766
"ASCL2",3.646857612,3.606611763,3.760035813,3.548627546,3.731988937,3.590488138,3.667559135,3.771703164,3.562692695,3.599169265,3.561192763,3.738499882,3.609889191,3.55808843,3.586841041,3.609832769
"MME",9.738039045,8.791191453,8.535514746,7.632957186,9.261968274,8.961369024,8.086705692,9.165499523,8.414823011,7.752516826,9.057503209,7.900683364,8.274985199,9.182637332,8.486011124,8.141647004
"MMP1",3.539754371,3.438451311,3.765191135,3.697452083,3.915194783,3.555084456,3.504216876,3.695376802,3.389999064,3.715349642,3.638082229,3.600298802,3.610997859,3.727233735,3.545852464,3.632220974
"MMP2",5.630166522,5.446245753,5.438464744,5.491762165,5.720393008,5.395832595,5.511293114,5.615091537,5.350289742,5.542224503,5.485441496,5.733322594,5.438404344,5.493433169,5.47452943,5.647676964
"MMP3",3.703625724,3.616144428,3.65886032,3.644356647,3.653105893,3.780887022,3.592716029,3.864820386,3.694492612,3.833289892,3.745234475,3.796583785,3.883452808,3.682257975,3.748040857,3.759166042
"MMP7",5.08136929,4.826655526,4.770658592,5.091739114,4.972290706,5.069844272,4.914808934,5.340805346,4.845599163,4.92095073,4.985527051,4.954464008,4.926037014,5.011742357,4.950397316,4.966932564
"MMP8",4.963017758,4.730917343,5.325911916,5.267085634,4.892149259,5.527200519,5.823306571,5.984154723,6.36760937,5.348673605,6.291714866,5.959520769,6.324313418,6.694167625,7.007583188,5.802879503
"MMP9",12.69417627,11.75414902,11.07768902,9.661088289,11.4076876,10.27363513,10.00203612,11.64296755,10.2538079,9.131030541,11.19522759,10.21799123,10.20269223,11.1522672,9.971736299,10.40726135
"MMP10",4.216666576,4.06758765,4.203822597,3.944140935,4.288822525,4.149920964,4.214373521,4.103914164,4.108644909,4.335649604,4.189134413,4.350437644,4.269641736,4.165509748,4.17526199,4.346376235
"MMP11",5.513273274,5.580335945,5.604363393,5.432755782,5.542966956,5.395960406,5.31436941,5.58958656,5.310616164,5.444236199,5.555274297,5.530602961,5.472917031,5.387575156,5.473524499,5.440605802
"MMP12",3.980958883,3.708038923,3.912482556,3.70720236,3.481161917,3.609043533,3.556443916,3.982365693,3.717424392,3.792764864,3.749379934,3.630265771,3.692819069,3.73345198,3.849971396,3.913755442
"MMP13",3.863156808,4.110641551,4.161867811,4.186049163,3.701213991,3.837630931,3.868872465,4.248829788,3.834584722,3.864493867,4.003155435,3.906789136,3.945678515,4.081312426,4.150458714,3.986512142
"MMP14",6.484514898,6.341891265,6.267238322,6.20236331,6.412449127,6.097495634,6.209240766,6.489498946,6.107272511,6.283571736,6.240056535,6.463377793,6.29886978,6.353442508,6.430463583,6.310815901
"MMP15",5.365531018,5.503283427,5.428563241,5.400953951,5.711560868,5.186173472,5.070041874,5.660768634,5.038877614,5.333950134,5.580543241,5.31993423,5.45959552,5.343814131,5.303015713,5.411797875
"MMP16",3.813373241,3.797988707,3.865215784,3.766256567,3.823143845,3.656887466,3.625541819,3.881538716,3.707513116,3.752426373,3.757059707,3.776904612,3.78009714,3.818507959,3.853409935,3.859673647
"MMP17",6.48019343,6.279839895,6.323305753,6.106100451,6.70681714,5.844054318,6.210792478,6.286683458,6.160028359,6.433029455,6.221254746,6.529128371,6.404338909,6.136881885,6.280673378,6.330332567
"MMP19",6.231186697,6.04228517,6.150863147,5.98096779,6.108184261,5.71138009,5.804136452,6.09357041,5.790342628,5.694948447,5.999926996,6.198803822,5.78660365,6.019934485,6.103612822,5.983151778
"ALDH6A1",7.525857578,7.926359665,8.021534508,7.792431809,7.946700968,8.042947255,8.092227444,8.386768654,8.217037388,7.92305766,8.233740919,8.003742602,8.014438068,7.912454722,7.819991985,8.025861582
"ASGR1",7.219311374,7.535325593,7.522623935,7.729430876,7.471526561,7.423092862,7.507851718,7.654389327,7.344066135,7.408880115,7.69006405,7.404136053,7.403687956,7.358892234,7.32008043,7.591967298
