"","TCGA-A6-2686-11A-01R-A32Z-07","TCGA-AA-3514-11A-01R-A32Z-07","TCGA-A6-5659-11A-01R-1653-07","TCGA-F4-6704-11A-01R-1839-07","TCGA-AZ-6600-11A-01R-1774-07","TCGA-AA-3663-11A-01R-1723-07","TCGA-A6-2684-11A-01R-A32Z-07","TCGA-A6-2675-11A-01R-1723-07","TCGA-A6-2679-11A-01R-A32Z-07","TCGA-A6-5667-11A-01R-1723-07","TCGA-A6-2671-11A-01R-A32Z-07","TCGA-AA-3520-11A-01R-A32Z-07","TCGA-AZ-6605-11A-01R-1839-07","TCGA-A6-5662-11A-01R-1653-07","TCGA-AZ-6598-11A-01R-1774-07","TCGA-AA-3534-11A-01R-A32Z-07","TCGA-A6-2683-11A-01R-A32Z-07","TCGA-AA-3660-11A-01R-1723-07","TCGA-AA-3531-11A-01R-A32Z-07","TCGA-AA-3516-11A-01R-A32Z-07","TCGA-A6-2682-11A-01R-A32Z-07","TCGA-AZ-6601-11A-01R-1774-07","TCGA-AA-3496-11A-01R-1839-07","TCGA-AA-3713-11A-01R-1723-07","TCGA-AA-3522-11A-01R-A32Z-07","TCGA-AA-3697-11A-01R-1723-07","TCGA-AA-3511-11A-01R-1839-07","TCGA-A6-2680-11A-01R-A32Z-07","TCGA-AA-3712-11A-01R-1723-07","TCGA-AZ-6603-11A-02R-1839-07","TCGA-A6-2678-11A-01R-A32Z-07","TCGA-AZ-6599-11A-01R-1774-07","TCGA-AA-3527-11A-01R-A32Z-07","TCGA-AA-3525-11A-01R-A32Z-07","TCGA-AA-3662-11A-01R-1723-07","TCGA-AA-3655-11A-01R-1723-07","TCGA-A6-5665-11A-01R-1653-07","TCGA-AA-3489-11A-01R-1839-07","TCGA-AA-3517-11A-01R-A32Z-07","TCGA-AA-3518-11A-01R-1672-07","TCGA-A6-2685-11A-01R-A32Z-07"
"TMPRSS2",211.5004,314.5716,281.9474,272.5565,318.6115,133.3581,144.5458,291.8697,245.0836,257.3217,222.6612,187.0174,39.2661,174.3107,169.8987,142.4999,185.5421,160.3979,352.9634,301.7995,252.3828,216.5955,185.5691,124.23,185.9669,308.7843,171.9298,137.655,270.1273,109.1323,229.8772,141.396,231.4106,288.5197,139.8269,156.1398,353.934,149.0528,190.1344,142.8124,402.6136
"DENND5A",6.2563,5.9738,5.5277,18.4764,9.3429,16.0972,3.9888,29.844,6.9378,7.8104,8.9985,5.9334,44.8498,20.3152,11.5057,6.5302,5.2922,4.9047,4.6792,5.1687,5.0403,13.4502,23.1746,6.2598,5.5603,11.6481,9.0352,7.7743,7.2261,27.6056,10.6103,11.505,8.7564,4.936,12.416,12.9302,5.1094,25.3549,6.7863,7.522,5.4868
"VPS33B",2.1274,1.9949,2.076,1.6678,1.493,1.6096,1.75,1.4786,2.1543,2.0012,1.6861,2.3157,1.181,2.0736,2.0471,1.9366,2.0822,1.6919,2.038,1.4901,1.9597,1.4281,1.7403,1.2836,1.8126,2.3664,2.2198,2.2027,2.2704,2.4506,1.9221,1.9475,2.0364,2.0178,2.21,1.8645,1.8634,1.1538,1.9789,1.3519,2.3414
"ADAP2",5.9599,11.2945,5.8584,3.3243,3.3406,9.2526,8.7326,4.8819,7.3547,5.6215,5.3156,6.9238,4.4348,5.0481,3.1654,8.757,8.3775,5.3612,5.0359,6.9791,6.1672,3.9455,8.4686,7.9999,9.7501,9.3713,5.8827,2.8573,8.7231,22.7241,9.3185,11.1719,8.6159,12.1542,11.3778,11.1827,4.8146,15.6799,5.5229,5.8154,4.8177
"UQCR10",130.3556,134.1334,99.3708,138.279,82.3443,93.0615,135.8647,66.4098,102.5698,107.219,113.5868,113.7706,82.8484,107.1893,86.563,93.6429,121.8734,130.7319,100.8525,84.5549,106.1522,78.5248,113.7068,197.7472,113.2171,126.4161,98.5385,108.8362,94.0442,85.8142,107.7346,84.412,110.8764,118.8998,114.0878,145.3709,73.6225,144.0235,88.6268,82.8793,130.2028
"FAM120C",0.7855,0.7297,0.909,1.9606,1.0147,1.4586,0.5041,2.1317,0.9009,1.0505,0.8938,0.8682,3.8341,1.8023,1.4263,1.4758,1.011,0.6215,0.4816,0.7487,0.9232,1.5787,2.2281,0.5396,0.9868,1.277,1.6311,0.7691,1.1124,2.9616,1.133,1.8806,1.0505,0.9075,1.4576,1.161,0.7242,1.4332,1.0159,0.8418,0.8956
"EIF3C",3.4088,3.7819,2.2953,4.7862,3.668,2.3274,3.1868,2.9036,1.5131,4.2253,2.8713,2.3587,3.5222,3.7136,2.6656,3.792,4.6041,3.2051,2.2339,1.9483,2.4702,2.9389,2.4999,2.3271,3.3393,3.2948,5.2852,2.796,3.4196,3.5398,4.2139,4.233,3.1974,2.0368,2.2999,3.6829,2.3726,3.5416,3.1554,3.6204,3.8707
"CLDN5",19.2132,6.8001,10.3041,22.6915,39.0161,36.3404,25.3286,24.8126,27.1697,24.0286,48.929,20.8672,31.1554,26.02,34.0072,23.5127,18.774,27.6271,13.4743,12.6462,13.9629,18.1259,40.7903,13.7631,24.3158,25.312,19.081,26.5608,24.5305,41.4716,31.2692,59.8957,14.2991,12.5271,36.1065,20.584,18.3102,16.6288,39.1679,29.6688,17.9481
"NIPSNAP1",46.2629,42.5579,34.448,52.2675,46.0097,46.8517,51.0532,31.3646,47.9217,63.201,48.0367,45.3453,30.0526,33.4785,46.1563,62.8593,58.0725,69.8777,27.7779,20.6634,45.2362,45.1158,56.997,72.1104,53.5625,41.2041,58.9526,49.3584,54.5122,56.149,53.1768,70.6585,47.9869,44.822,78.3171,93.7364,33.9698,76.0193,34.4679,48.7954,58.5878
"LRTOMT",2.3193,2.37,1.9156,3.704,2.8928,3.3505,2.9693,2.7969,1.9472,3.3241,2.1931,2.2605,3.6007,2.8041,2.8797,2.4774,2.6708,3.5656,1.8939,1.6566,2.375,3.0471,3.8853,2.1129,3.1174,2.3637,3.9291,2.0306,3.0674,3.4722,3.2406,3.1503,2.4087,1.8929,4.4031,4.2166,1.6761,3.3429,2.0985,2.1943,3.1036
"ADRA2C",0.9268,0.5686,0.8828,1.7353,4.2245,1.7807,1.1058,2.7546,1.8687,1.0682,3.1553,1.9207,4.2886,2.1637,5.6155,2.5162,1.5255,1.1072,1.2839,1.139,0.8772,2.2238,2.736,1.9149,0.861,2.0784,1.5819,2.3077,1.3041,2.5196,1.8348,5.0057,0.8484,0.8827,1.4618,0.6885,0.9461,1.5268,2.0427,1.8542,0.7627
"NR2C2AP",14.5336,14.623,8.7617,25.5323,14.1438,14.1236,14.493,13.6568,12.7924,15.1863,12.345,16.4481,12.204,11.846,13.6934,14.2429,15.5018,19.3077,8.4996,7.634,15.4208,14.2854,18.2437,27.194,18.3684,19.8456,16.3764,8.4492,14.5621,15.1115,15.3364,12.8032,11.5183,11.1296,20.0787,21.1408,8.86,27.9924,14.9117,12.6679,17.4209
"CRELD2",17.9393,45.8122,17.1869,47.6099,20.0695,17.7083,15.0207,16.8618,28.964,20.1715,20.1451,19.5218,13.4442,14.2704,18.8477,21.5278,15.4251,19.5209,16.2468,17.749,23.3644,26.7766,22.2371,22.6019,18.6737,81.9863,24.9423,13.8821,20.8054,45.0855,13.9106,23.0934,26.3671,25.5882,20.2179,18.8211,12.1778,53.8551,18.3006,11.6514,28.6313
"SCFD2",12.6469,14.9495,9.5311,30.2286,16.6928,13.1568,11.7248,12.237,10.9917,15.7038,10.6526,14.5975,12.3178,13.2929,13.3528,12.4657,15.8913,10.5081,8.498,6.0099,13.4353,18.0645,17.1466,13.0473,13.9301,24.4403,16.4374,8.0348,10.2002,16.5807,11.3297,15.0447,13.3612,11.0109,13.6189,10.4371,9.5992,16.0534,10.2853,8.8888,18.9727
"UBE2F",7.0633,7.3493,9.006,9.8979,8.3126,6.9019,6.3186,8.8165,5.5983,7.1239,7.0144,7.162,8.6332,7.6863,5.9226,6.1281,6.7721,8.1026,7.116,6.0903,6.6522,7.2414,9.1707,12.0016,7.0316,11.1599,7.3348,9.0708,6.4073,8.7947,6.7998,7.2679,7.5345,6.2575,7.4964,9.1365,6.0734,12.6695,6.432,6.3069,7.5519
"PPP1R2",32.01,32.96,35.9665,36.085,36.9229,30.6598,30.2615,36.9211,28.2746,32.2052,32.0064,34.9773,56.2685,42.2643,28.4374,30.8448,31.9133,36.9207,24.7836,24.9532,31.0782,30.5326,47.6224,41.3703,36.3323,33.4592,33.715,40.1703,28.7211,37.1017,34.6934,36.3764,32.9854,27.6005,40.628,45.0979,27.5844,47.5414,32.004,33.1343,30.6505
"TSPYL2",4.4716,3.6425,6.4451,28.8955,10.1971,11.5666,3.8404,18.4387,5.7276,9.9858,5.848,4.5001,36.5397,19.88,14.0664,5.5753,4.5135,4.0307,3.6254,5.1617,5.8425,7.7823,24.0046,6.7463,5.4407,9.8251,9.9048,9.5168,10.9631,26.2865,7.587,7.465,5.392,5.7719,13.1294,9.3992,5.8585,12.2275,6.2822,5.6531,5.8724
"PGP",11.3474,14.9528,9.4072,18.8968,13.453,9.339,13.0154,12.6154,12.9724,15.1959,13.6163,12.0459,9.4361,9.46,14.7752,11.1449,9.7811,12.7592,12.1322,9.7835,10.3752,12.5787,11.1241,20.2137,11.1008,18.5175,12.1223,10.3823,13.8314,14.6884,9.0423,13.2018,12.9338,12.4342,9.4581,12.87,9.6356,15.0139,11.1963,9.3482,16.1303
"SNRNP35",9.2282,13.9095,8.8663,11.7708,11.2084,10.001,10.7703,9.2726,9.4863,11.5628,10.8243,10.1906,12.7067,12.2077,10.9531,9.4569,10.0162,9.6132,10.038,8.8747,10.5382,10.5731,13.3385,10.976,9.985,13.0219,11.1641,9.393,8.9483,14.154,9.6478,11.2644,10.4567,11.5004,10.4848,11.8128,8.7593,12.9084,10.3469,8.6645,10.6465
"IRAK1",92.9084,113.9816,62.4446,114.2095,84.7257,86.7713,81.576,91.4056,94.4043,97.7047,87.5984,90.2273,67.7904,58.7055,84.6921,94.43,72.3023,79.0431,57.3078,70.5137,93.4559,92.7981,78.3244,100.2811,88.9553,127.1847,94.6709,116.7023,82.5603,102.7552,87.3566,105.5792,93.1044,86.8981,83.0545,88.6751,60.8466,80.6863,87.7819,70.8426,113.7751
"CMSS1",3.4249,4.0716,2.9219,8.6404,4.2063,3.8411,3.3053,4.3099,3.3297,2.8789,2.7384,3.4786,6.4282,5.1344,4.1865,2.9069,3.3326,3.7158,1.9981,1.7218,3.3416,4.1596,7.763,7.1872,3.8867,7.8273,4.1827,2.6866,2.7689,5.3755,3.3357,4.076,3.2705,3.4532,4.3616,4.4507,2.0458,10.091,3.3076,2.0053,5.7649
"ACOT1",8.2784,7.7167,9.0071,8.6203,4.844,5.0011,5.8789,3.3821,10.5299,5.4825,8.6545,4.8923,9.4882,9.6603,9.8008,9.6531,3.8599,7.2024,7.1012,8.5644,5.8099,9.312,5.78,4.0536,8.2294,8.7046,3.7172,21.3235,7.978,9.7692,8.0072,6.1754,9.7686,3.6298,8.6012,6.7372,4.113,11.7016,5.6292,10.1694,14.0861
"ALDH1A3",1.9011,0.8235,2.1633,5.4596,2.3222,2.6994,0.9546,3.2627,1.6282,1.77,1.8265,2.0335,5.0767,3.2939,3.8422,1.8715,1.0268,1.6581,1.0488,1.5309,1.3883,2.8823,6.7048,2.0767,1.0959,2.8691,2.9133,4.8625,2.1898,6.5805,2.2093,4.1936,2.2602,1.748,2.8753,2.2497,1.6043,6.3519,2.0134,1.3593,1.246
"H2AC20",2.4529,6.0427,1.4346,3.2291,3.7828,2.5678,2.3279,0.9113,2.0881,3.0962,2.2028,1.3983,2.084,1.8799,2.8581,2.3366,1.9903,3.2558,1.2493,1.4615,1.3542,1.7002,1.3925,2.767,1.6781,4.4099,2.0298,1.5221,2.301,4.8526,1.0511,5.52,1.9562,4.0115,3.3937,4.1938,1.644,3.1323,1.4893,1.0486,3.0386
"TM2D3",8.5124,6.3548,7.2776,8.042,6.8083,7.7478,6.8371,7.5319,5.7788,7.6542,7.2485,6.6377,10.3536,9.4594,6.8805,6.7883,7.6326,8.5936,6.6553,6.9237,7.5849,7.7841,10.603,9.5567,7.4614,7.1576,7.6455,7.365,7.3322,9.5896,7.7357,8.0086,6.7187,7.174,11.3185,10.1868,7.0594,10.5638,7.463,7.7042,8.014
"TSSC4",27.1231,30.5229,21.2455,38.2391,45.0566,34.5166,32.9928,38.5724,31.2806,42.4662,39.027,27.0322,44.6449,34.925,34.3171,27.717,24.3339,33.7522,25.4841,27.3729,37.001,32.2923,42.5131,38.3111,31.2096,41.1798,30.4989,32.2374,29.3779,38.9112,33.1967,36.779,29.0739,25.1199,32.8175,44.6264,23.0017,37.5929,30.2564,30.7408,34.5973
"TACSTD2",1.7508,2.0115,1.2238,2.4346,4.7155,1.5989,1.8354,2.3498,3.0726,1.7173,1.5763,2.1656,0.9138,1.413,2.356,1.9978,1.8779,0.7512,5.5384,0.7686,2.8617,2.059,2.7717,2.846,2.2535,3.2759,1.4463,0.6714,1.145,6.1607,1.6832,2.9966,4.7094,1.7293,3.3622,2.1196,3.055,1.7854,2.8095,3.7,1.3844
"PRKD1",1.7535,0.9277,1.7064,4.2095,1.6968,2.9155,0.9125,6.6967,1.4662,1.7322,2.0653,1.0429,10.9211,4.5288,2.9246,1.2491,1.2913,1.6481,1.1426,1.5903,1.0342,3.4155,8.3005,1.6535,1.6881,2.3388,2.0406,1.8092,2.2376,9.1828,2.4067,2.8845,1.7945,0.7368,2.9702,2.8324,0.8615,6.3868,1.4796,1.4684,1.8277
"CCSER1",0.9855,1.0593,0.8699,1.602,1.0969,0.8905,0.9882,0.9026,0.6842,1.4222,0.7084,1.1677,0.4461,0.8662,0.5142,1.2343,1.4662,1.3052,1.0134,0.7367,1.1816,0.8821,1.1603,1.6416,1.1164,1.2534,1.4181,1.3819,1.0551,0.8195,1.4723,1.2071,1.1031,0.857,2.0888,1.4187,0.9186,1.5217,1.1028,0.91,1.2028
"SRPK3",0.5203,0.2256,0.6829,2.5281,0.5982,2.4852,0.5656,3.6059,0.515,1.3878,1.6369,0.3854,11.8022,3.117,2.0833,0.6448,0.4244,0.7798,0.6765,0.9702,0.5439,2.1246,3.8667,1.0919,0.607,1.861,1.0569,1.2977,3.1149,3.4882,0.5363,0.8099,0.7971,0.5774,2.138,2.4998,0.6716,2.9355,0.3179,0.5459,0.6667
"SLIT3",7.2963,4.3021,3.7814,27.0355,22.2574,16.853,3.473,31.1944,11.7372,8.8123,9.5182,8.6988,48.0543,18.7023,29.9093,8.9461,7.4707,5.5397,5.9393,3.706,4.8654,13.2161,25.7093,3.2417,7.4115,8.2156,10.0221,5.5064,5.7087,30.6982,13.2083,24.2121,9.1803,4.2886,13.4813,5.3918,10.6428,8.2519,9.2829,11.0859,6.6946
"EFNA5",6.1791,4.5097,5.833,5.6047,7.5416,6.1305,4.6421,4.3228,4.092,6.216,4.5976,5.8137,9.4425,6.7767,8.3376,4.2293,6.0714,3.5135,3.4876,2.6077,4.7243,6.5003,7.5035,2.204,5.7415,3.8119,5.5308,1.7015,5.1003,5.3302,7.14,8.9752,5.4996,2.7899,6.9453,3.6808,4.3498,3.0705,4.6935,5.1664,6.3641
"PKP3",131.6089,143.8553,79.3646,151.9595,123.2863,78.8056,130.7061,94.6011,126.9956,126.9026,154.6314,148.2144,20.0122,60.8187,98.6999,122.832,117.7075,109.2804,125.7591,154.2767,122.6372,81.4465,61.961,98.3676,142.9421,182.8008,105.3603,134.7693,113.07,84.9283,91.6973,121.2375,121.8378,114.8176,93.6762,97.8509,110.4274,61.7109,106.0454,104.4045,171.9324
"CSF1",18.8666,24.6235,19.0574,36.0823,26.0172,43.2491,15.1593,29.4642,32.0796,25.0106,21.2941,24.9783,30.8579,22.0661,35.6199,24.2619,21.8453,15.8749,13.9028,14.7914,23.5905,29.7265,32.9409,12.6495,27.9046,29.5069,25.796,15.1985,25.2092,48.5994,27.2207,45.1023,21.2642,22.8886,22.9166,18.4396,14.2766,37.7535,20.2613,18.2456,18.2076
"ACTRT3",2.6052,1.9212,2.3023,2.581,3.5621,2.5006,1.868,1.796,1.7545,1.6317,1.9832,1.459,1.8957,2.9497,2.3783,1.796,2.3536,1.925,1.3788,1.2152,2.1733,1.6626,2.6072,3.0998,1.2533,2.1957,1.5002,1.9968,1.1337,3.9335,2.3616,2.3736,2.8161,1.8138,2.1571,2.3942,1.2338,3.0558,1.9593,2.0769,1.9249
"PLA2G6",3.9978,3.2135,2.8695,2.8417,3.9064,3.415,5.456,2.863,3.9969,6.5276,4.4183,3.3553,2.3321,2.7698,5.704,5.3535,3.3491,3.641,3.3823,2.7573,4.4793,3.2106,3.0666,2.5775,5.0002,1.9063,3.9294,3.9672,5.7803,3.6624,5.0649,5.1556,3.521,4.4553,5.2558,4.5757,3.7407,1.7657,3.5477,3.9851,3.4994
"MAML2",11.0433,13.9066,13.2305,10.8309,12.3481,11.8776,10.2082,7.9199,9.7625,13.498,9.4843,13.6601,8.1261,11.351,10.2543,12.3462,13.098,8.8275,9.2923,10.1028,9.786,10.5565,10.8629,3.8677,14.4232,9.5118,11.278,6.7683,11.1779,10.7677,16.6616,15.1717,13.2638,10.0386,13.1668,7.3806,13.0051,6.4401,13.8336,11.3648,11.7318
"SS18L1",6.1175,5.2932,10.065,8.6384,8.7489,6.3751,6.2417,7.2843,5.3132,12.2283,6.9248,6.4775,4.8746,7.2545,6.8233,7.0264,7.2456,6.6521,6.2473,5.8354,7.3113,7.9789,6.0774,7.1103,9.6073,6.2004,8.3967,7.2546,12.213,7.5977,8.6405,8.7727,6.7795,6.7112,9.8311,8.1428,6.2231,5.243,6.0715,5.6326,8.9002
"TOP1MT",7.5997,5.9609,6.9174,8.3495,13.81,8.6754,11.8046,8.221,8.1966,9.8327,12.3792,9.5431,6.0027,7.2047,10.7188,11.7492,10.1654,9.838,3.8549,3.9891,11.0217,8.6078,8.8863,7.5357,9.7245,7.6467,11.1296,4.1473,8.4822,11.8188,10.9019,13.0025,7.4679,7.1665,18.2523,12.3977,4.1617,7.213,8.9203,11.2951,11.9151
"COPB2",25.1375,32.2331,19.771,38.5582,20.3077,22.137,19.1918,25.0883,21.1182,25.8599,20.3177,27.4102,21.8447,22.4177,18.2593,23.9009,28.2499,24.0685,24.4624,18.6535,23.5075,26.7326,28.6236,19.8136,24.7952,40.0296,32.1273,24.3273,25.5249,32.5735,24.6679,29.2574,27.5304,23.8168,31.4147,25.2774,19.305,29.8462,20.6165,18.8676,30.6464
"THAP7",15.978,12.716,10.7605,20.0082,19.737,18.7645,19.1351,20.9527,17.255,20.4652,19.3968,15.5811,30.8906,19.5274,18.6354,17.1395,14.4083,22.0111,12.7615,13.8083,18.5888,15.2378,27.5966,28.8116,18.1253,22.3817,18.9603,23.767,18.754,23.9854,18.3419,17.6085,15.5422,16.8638,26.4373,30.4717,12.4122,29.453,17.9012,17.1826,17.8761
"KNTC1",2.9404,5.6795,3.0305,6.5471,4.278,3.1362,2.292,2.7626,3.4517,4.4803,2.2362,3.4013,2.1328,2.7249,4.2157,4.1941,3.8943,2.6203,1.7329,1.2631,3.2109,5.3285,3.7963,2.5791,4.9815,4.4293,5.6114,1.7553,4.4553,4.3768,3.7092,5.0564,3.2759,4.7451,3.3456,2.58,2.8079,3.1835,2.6116,1.3767,5.4627
"WDR27",0.8008,0.46,1.1722,1.5649,1.1032,1.4379,0.9901,1.2733,0.676,3.0692,0.6158,0.6477,1.3251,0.9007,2.5296,1.3364,0.9134,0.6505,0.5514,0.4151,0.9663,2.2134,1.1274,0.6789,1.474,0.6547,1.7743,0.6932,2.564,1.9317,1.7294,2.0789,0.7997,1.0307,2.1205,0.8781,1.0156,0.681,0.7731,0.7312,0.9651
"TXNRD2",7.6777,6.7029,5.6169,8.8466,7.9499,7.3699,9.0279,7.3007,6.9776,8.8224,9.0228,7.4021,7.9763,5.7402,8.4613,8.487,6.668,7.5016,3.6723,4.4788,7.0676,6.6098,7.6609,8.3074,9.4221,7.9061,8.0393,6.5728,7.5616,8.0336,7.5913,7.9952,6.7318,6.4389,8.5757,8.0404,5.5229,6.5094,7.1411,8.0153,7.877
"FOXO4",30.8468,28.6812,24.3884,24.7079,19.0287,35.97,52.0162,40.5035,25.4842,37.5315,41.828,33.1491,41.4981,34.5866,30.1609,36.3333,35.8122,30.9368,28.6805,35.087,32.3892,25.7072,39.6275,14.4263,42.5259,17.2439,30.6907,38.9354,30.2085,39.072,44.6898,32.0827,41.0172,29.6342,40.5412,35.8142,28.5828,24.7823,39.7661,44.0501,32.4204
"PTP4A3",7.3211,7.7382,7.6414,16.1521,18.2478,25.4608,4.9142,23.2262,6.6283,9.3216,13.2474,5.9217,52.6119,21.1448,18.4067,8.7121,7.2956,6.6293,5.667,8.1458,6.3323,25.2593,25.5614,14.6386,4.5073,18.6641,8.6977,11.6221,10.8727,28.4298,6.9352,25.9106,13.8247,6.2643,14.4033,13.294,5.5411,44.7523,6.4744,8.2159,5.7432
"PROS1",11.9393,12.4614,7.8379,29.0919,16.7054,19.2703,10.8588,20.373,11.6619,15.3443,12.7646,11.6654,21.6542,24.3178,13.5145,12.9443,15.4583,23.3779,15.6296,6.4218,12.8026,19.6401,32.9584,10.7981,13.7931,32.0799,25.8534,13.5189,27.2849,34.0566,20.8187,32.9039,18.1055,7.4874,37.8405,17.2974,9.7563,39.9612,11.4198,13.8001,66.712
"HDDC3",2.4461,2.8328,2.6525,3.6721,2.9517,3.3677,4.0739,2.181,2.8345,4.0188,3.8783,3.1859,1.7265,2.4044,3.3401,3.5429,3.089,4.4139,2.1323,1.7604,3.8289,2.533,3.2888,4.5264,3.5462,3.5303,3.3679,4.8352,3.3694,3.49,3.4755,3.4845,3.5515,3.1656,4.5046,4.8911,1.5293,3.9357,3.1095,2.7044,4.0804
"BEX5",6.3917,3.9534,1.9568,18.9924,10.9838,2.8845,6.0722,7.3273,4.9708,2.3678,6.7426,8.5564,7.5729,4.0695,3.9365,6.2234,4.239,14.3985,3.9762,1.3771,8.5553,2.3004,6.5313,24.0781,6.9242,15.3381,4.7179,6.5497,2.2485,4.7986,8.7155,7.6916,5.1717,8.6567,17.8224,5.6687,7.0545,13.931,7.2225,3.0563,4.7992
"ZFP1",3.8324,3.4761,2.5586,4.998,3.351,6.1933,3.4235,7.7244,2.8597,3.6974,3.3949,3.4806,17.2123,7.5255,4.3542,4.4985,4.3469,5.1987,2.4517,2.6049,3.5847,6.4626,10.8578,5.4545,3.3428,4.499,4.3348,5.4384,4.1663,8.9691,5.2766,5.8858,4.0685,4.7291,7.515,6.7658,2.36,10.538,3.4741,3.8584,3.4941
"DUSP8",16.8386,17.771,19.3703,23.4893,26.3591,22.7764,17.9189,10.5282,23.3586,67.4523,32.1308,21.0944,7.3445,28.0844,21.9604,21.1304,12.4693,16.3756,35.3944,23.4352,23.0053,21.9749,9.3844,7.6148,26.1962,14.9446,22.2382,31.8071,24.916,10.2896,27.532,26.4265,29.0886,15.7696,16.3425,9.9526,19.0821,7.7212,27.0558,18.8713,34.8679
"SOCS3",17.3671,21.6513,86.9463,248.2295,174.9028,91.73,40.0196,39.2706,21.2481,84.9862,48.7391,17.7005,13.2665,87.4779,110.6658,12.94,38.7532,12.854,22.3922,17.792,53.4808,47.3815,60.0494,61.8371,14.0596,165.8829,16.5733,41.7526,11.5027,110.9291,20.5111,153.1674,23.1897,24.3881,9.6273,29.0829,16.6809,135.1817,17.5724,17.2602,48.9036
"LPAR5",37.2019,35.0616,32.5897,45.2646,50.9285,31.5866,41.7183,21.6881,32.7789,48.3573,35.2005,37.6997,6.4875,26.5014,30.5334,42.8005,41.5981,42.4005,38.6483,28.9209,52.577,38.9846,23.1281,24.3007,42.3872,33.3915,43.5148,33.8006,34.0474,29.8317,41.8049,48.9576,33.5089,31.908,53.3321,41.8687,28.6327,24.4864,37.3306,34.8259,46.9931
"XPOT",14.8431,17.4045,14.9924,29.7502,15.0999,18.583,11.9323,21.4528,13.9512,15.4986,13.5347,16.3362,20.1986,15.624,15.4304,16.1391,18.7596,16.1057,10.7016,8.4884,14.694,21.0862,21.8331,21.0812,16.4272,25.4766,21.1986,9.643,17.8578,27.0542,18.1449,21.8349,18.4418,16.8244,22.2846,21.6271,10.9499,25.7153,14.6743,12.7234,17.2913
"STING1",20.4751,42.9283,21.2692,39.8099,28.331,28.6309,25.0524,30.1959,27.8701,32.3077,21.1335,25.482,22.5465,24.3874,36.1836,31.623,22.2678,37.6114,24.3101,15.6964,25.6543,48.1403,34.8148,18.4427,23.0977,60.7335,46.1479,9.3442,26.1522,53.4269,20.4318,49.6388,38.8012,27.6358,64.7817,39.6954,14.1275,75.5459,26.9879,26.4396,50.1124
"PDE4B",2.3168,3.2418,4.7389,5.6434,7.0684,6.0914,2.3671,3.6296,5.1982,10.1277,5.19,2.8029,3.4586,6.3036,2.7698,3.6062,4.1576,2.8998,1.6955,3.3603,5.6773,3.0025,3.9799,5.1318,2.9853,13.5649,8.6462,2.7208,7.8071,5.9749,7.5182,5.316,3.4958,5.0322,4.7122,3.696,2.9453,9.8768,5.1204,1.8736,8.2426
"MED12",19.5412,22.9385,13.4032,28.6213,21.1597,24.5509,19.3454,29.2737,19.6474,31.9202,22.1633,22.6885,31.496,20.1654,22.5929,24.8263,23.2928,13.3869,17.4988,17.0103,25.2913,25.0779,24.103,6.8502,26.1904,17.7969,30.2341,15.3106,22.7593,29.3065,29.4338,31.3585,22.9286,19.4752,24.3854,15.202,18.2246,10.7534,22.8546,23.3499,27.9131
"ZNF93",1.1342,1.6758,0.7803,1.7473,1.5259,1.1369,1.3153,1.17,0.9731,1.2993,0.8157,1.2454,1.9021,1.6646,0.8623,0.9621,1.2504,1.9604,0.8481,0.6471,1.4732,1.2391,1.5207,1.1477,1.4937,1.9318,2.3141,0.9519,1.6073,1.7741,1.0517,1.122,1.348,0.9193,2.8247,1.9336,0.6159,1.4284,0.9957,1.3741,1.4798
"SEPTIN9",48.9741,69.3202,39.9888,91.2265,52.5356,65.9831,45.2801,95.0615,67.1248,72.2838,78.2212,63.2213,141.1796,71.5855,61.3949,65.1412,54.1979,55.9924,67.4144,60.89,60.2328,72.6998,93.4491,43.5984,54.3211,90.9345,85.5468,84.8064,55.3469,97.8065,59.7224,66.7702,66.5926,65.6337,68.8916,69.0179,45.8018,62.3662,61.0052,57.1807,79.677
"CDCA2",3.6782,10.5271,1.8895,6.9196,2.6022,2.7651,2.133,2.618,4.8755,3.8673,2.328,3.506,0.7712,3.1109,4.8798,3.6529,5.8635,3.6544,2.5373,1.4158,3.7224,5.7496,4.1865,5.3124,5.0748,8.2185,7.6284,2.0339,2.5793,7.5717,3.2865,5.9342,3.4321,5.3287,3.197,4.5797,1.9264,3.5576,2.3483,1.7374,6.3949
"AMER1",2.5837,3.3698,2.4205,3.5559,2.5027,3.4171,2.612,5.2208,2.6542,3.3855,2.5181,2.9144,7.4794,2.9825,3.3464,3.3295,3.3192,2.114,1.5073,1.7873,2.4611,3.9963,3.9139,2.2591,3.3475,2.5503,3.0788,1.8391,2.7492,4.8842,3.4463,3.6859,3.1635,2.3017,3.1209,2.8637,1.9098,3.1013,2.4766,2.7295,2.4487
"ZBTB40",8.0223,6.7324,6.5476,11.9334,6.1671,9.4645,6.3965,11.5296,7.5022,11.4883,6.4303,7.9014,16.2291,8.5467,10.18,10.2724,10.2635,6.6833,5.5551,4.7491,8.8958,11.8944,10.0656,3.9702,10.6068,6.9964,10.8063,7.8419,13.3751,12.9035,10.3688,11.2877,8.2527,7.0877,10.7421,8.0486,6.7727,5.7969,6.6038,7.4629,8.7293
