"","TCGA-AG-3731-11A-01R-1736-07","TCGA-AF-2691-11A-01R-A32Z-07","TCGA-AG-3732-11A-01R-1660-07","TCGA-AH-6643-11A-01R-1830-07","TCGA-AF-3400-11A-01R-A32Z-07","TCGA-AG-3742-11A-01R-1660-07","TCGA-AG-3725-11A-01R-1736-07","TCGA-AF-2692-11A-01R-A32Z-07","TCGA-AF-5654-11A-11R-1660-07","TCGA-AF-2689-11A-01R-A32Z-07"
"PDCD1",2.7938,3.7223,1.0026,4.5262,0.5037,1.3678,1.138,2.4735,0.5668,4.9477
"SELL",16.3967,15.7685,10.0417,48.6837,3.2174,16.9179,4.709,15.5433,4.6133,30.6574
"CHM",9.9777,6.9845,14.1604,7.6253,6.1324,14.6272,9.8852,9.6256,7.1777,6.0851
"BLOC1S5",11.1714,7.2314,16.4417,11.0811,10.2817,16.9762,16.6881,9.1827,10.0941,9.7069
"H2AX",38.3813,106.1994,31.6039,46.1587,175.5495,50.9605,68.508,65.9478,80.2204,97.5444
"INSC",2.4217,2.0163,4.1865,2.4018,1.2665,2.9436,1.8638,2.7615,0.6431,2.8278
"C19orf54",12.5859,9.5227,13.2373,13.9326,15.1525,8.2377,6.6006,12.793,15.5041,12.6836
"FAM83G",12.8789,24.1714,9.3327,15.9579,24.9941,6.9943,6.3617,26.4914,23.7635,18.3919
"SRSF10",21.898,18.4192,27.4086,22.3827,21.1291,23.8774,21.1167,22.1131,23.4041,16.8957
"HBA2",6.5297,61.5109,11.6063,40.3514,14.8632,59.5238,75.1875,50.2407,38.8048,28.2123
"NBR1",95.0321,52.1458,116.4718,95.0819,81.1086,71.3788,42.566,88.2566,81.963,68.4829
"RALGAPA2",23.1387,21.8252,21.1642,21.3137,33.8649,10.6876,6.9824,26.9301,32.3239,17.4012
"NDOR1",10.6701,10.8971,10.0568,13.8386,16.1856,6.6424,5.9371,12.3177,13.6069,11.3393
"SUMO2",95.7704,77.905,116.7787,86.2411,71.9222,154.2326,109.6321,90.0959,77.2504,78.1987
"DPYD",12.7806,9.8068,27.3433,10.5002,6.1408,20.7963,7.0836,18.5856,4.767,8.889
"S100A16",282.2115,701.2223,153.2155,185.7313,617.1391,274.8573,371.3179,394.8964,329.1588,336.1428
"PTAR1",11.0436,8.0482,19.3616,12.5917,9.9463,15.5714,10.134,11.5387,12.9995,8.3082
"PARVB",6.0914,8.3887,8.8461,6.2365,2.131,9.7007,3.6348,10.4881,5.0008,8.47
"UROS",9.1168,7.4636,9.6847,7.0455,7.643,12.715,9.75,8.5031,5.9773,6.8209
"ZDHHC9",40.5761,44.1468,29.0821,26.235,57.6767,28.2703,26.6905,41.1275,40.6394,31.5244
"ZBED6CL",6.4073,6.0732,6.4816,10.6386,9.6661,6.0058,5.1997,6.0537,5.9551,8.7161
"TMEM120B",2.3274,2.9161,2.7373,3.0046,2.6369,2.0094,1.0514,2.8441,2.1102,1.9978
"NOXA1",23.2252,13.3857,15.5261,22.2215,21.6039,14.0906,19.1996,13.9104,27.0582,18.3649
"TMEM198",2.2132,2.3275,2.3048,1.5194,0.8567,2.5861,1.4914,3.1412,1.6905,2.0623
"PRELP",51.0849,65.7096,151.7376,70.2102,11.3442,89.911,15.478,127.2253,11.8947,73.5222
"MTF1",9.6161,11.3059,13.0901,12.0503,10.2473,6.9768,3.6925,13.3697,15.6017,9.6595
"TMEM201",4.2398,9.3101,5.9711,4.5968,10.3307,4.453,2.3645,9.4394,4.9262,7.3276
"SLX4",2.2927,2.2354,3.0723,4.2574,2.6411,1.7309,0.9174,3.1761,2.3959,2.7913
"ENTPD8",75.3017,70.6998,34.7796,90.4158,108.5757,56.9931,71.7831,49.6814,102.5686,105.8945
"RPL14",211.8242,171.5738,198.3308,128.4414,170.1012,274.0483,306.0517,182.7042,131.3507,160.7859
"FBF1",0.6888,0.4813,0.6656,0.9402,0.6992,0.6911,0.3546,1.0303,0.8006,0.6596
"MSL1",28.9835,20.2157,35.24,35.3485,25.9499,28.6804,18.1493,31.4763,29.0798,26.0799
"GJB3",29.0952,104.8731,6.7341,14.1919,43.055,31.77,22.6486,69.2197,8.8229,32.0595
"TRMT2B",14.3094,11.0128,14.0671,14.7128,21.1124,14.3764,14.5985,15.0367,16.8247,13.5061
"HACD4",5.9662,5.1002,15.4351,7.5066,1.8447,12.5564,6.642,10.0693,2.2919,5.3185
"CFAP126",27.9071,21.6104,50.6671,21.8006,24.3177,28.8452,13.1039,33.713,28.358,16.606
"NOC2L",31.4673,52.6109,30.9716,26.637,61.7002,26.0271,14.311,47.397,35.643,36.925
"DHFRP1",0.8202,0.7599,1.7988,0.6738,1.8897,1.8028,0.5929,1.8937,1.701,0.4617
"NELFB",94.4663,106.8057,95.2643,93.0637,135.9167,89.3634,74.2501,97.2514,107.6271,114.0892
"ZNF292",6.7429,5.8384,14.1048,10.1276,6.1614,8.7949,4.8711,7.5114,7.4008,6.3946
"KCTD21",5.649,5.0182,10.8968,6.5495,4.816,7.5607,4.7947,6.1092,3.7343,6.5954
"ADAT2",2.5624,1.6453,3.2516,2.5329,2.5886,1.7234,2.2106,2.3019,3.0057,1.4918
"ZNF567",2.8578,2.4729,5.5924,2.8703,1.4433,5.0379,3.4801,2.6778,2.1135,2.2291
"NDUFA4",140.2753,129.397,142.6271,107.2581,116.5347,270.127,400.7284,133.8435,104.2624,127.1449
"ALKBH2",9.8995,11.0605,13.0933,6.875,10.3159,15.8428,15.3133,10.0542,5.9169,10.5491
"APOD",56.7132,29.2285,147.8799,21.0488,7.2426,80.512,28.9158,49.2117,11.6389,21.6992
"H1-0",506.0024,478.849,514.2002,450.4944,499.9385,418.6624,279.3289,461.5233,493.7193,441.2023
"LITAF",164.1013,242.0667,132.6018,190.6155,227.0037,148.2534,128.36,170.2656,195.433,176.9503
"ARID2",6.8242,7.4777,12.374,8.57,6.4677,6.7734,3.3951,10.4841,7.4872,6.3594
"SF3B3",25.9478,40.5732,35.5979,27.5991,40.3387,20.242,13.7321,36.866,30.3973,30.8897
"BLOC1S3",7.5902,9.9405,11.3996,8.6798,13.0562,8.3584,6.4798,9.7674,13.0265,10.0913
"SP6",2.67,2.3235,2.3729,4.395,4.4276,1.1307,2.9663,2.9834,9.7163,3.6624
"PLAC9",21.4867,24.4087,35.8281,25.2108,12.0425,38.9483,44.1043,37.0501,14.6975,31.9286
"CLDN4",573.9014,1093.6488,198.5354,607.5485,914.8802,398.9341,337.4562,844.4398,603.6078,852.1236
"JPT1",82.2038,139.5622,55.7713,115.1385,176.2291,95.9118,120.4159,93.7986,159.8263,134.2144
"S100A13",11.7244,10.4235,13.6543,9.3821,6.2186,17.8062,22.2562,13.3994,5.6139,12.6717
"ZNF33A",14.1821,10.4342,26.0056,19.5234,12.228,16.7636,10.4174,14.2649,15.5075,12.9679
"PCDH18",10.3472,5.7817,49.7264,14.748,6.571,16.6383,8.14,11.7875,4.5865,17.6102
"MAOA",238.9872,221.6971,211.534,271.9085,324.3015,190.5083,139.6552,189.5688,351.2983,186.8465
"C15orf61",2.0266,1.71,2.4243,1.8234,2.0819,3.4918,3.2231,1.582,1.4844,1.847
"TSPYL1",28.2211,31.5479,46.5163,30.7481,32.9064,36.5304,15.6371,42.2836,27.767,28.7483
"PNRC2",129.4886,122.1313,145.3416,121.4857,133.6185,162.0012,137.3066,130.684,114.8858,104.1152
"FHIT",3.409,2.3096,2.5202,2.1978,2.3712,3.1747,2.0316,2.6068,1.9089,1.8998
"ZKSCAN3",3.3404,2.0338,7.2309,3.7319,2.8485,4.1794,3.022,2.6442,2.6391,3.2235
"RRP7A",8.8928,31.8971,13.4073,14.4975,41.2677,9.901,16.3283,21.0415,16.7513,14.8426
"LIN54",7.2852,7.4208,11.207,9.1348,9.6996,10.1115,6.9702,9.2598,10.9331,8.3436
"S100A14",525.7526,785.9757,289.2013,433.1552,943.6823,409.8866,662.745,505.4136,745.2885,542.8641
"KAZN",2.7677,4.2028,2.1106,1.3968,2.425,1.9912,1.1431,2.3448,2.2354,1.7765
"GSPT2",8.9074,10.8444,21.7152,12.3884,9.7716,13.4434,7.7429,13.8248,6.4163,12.4099
"HMGB1",84.8023,83.2995,115.9059,91.9293,91.0764,154.1163,125.4998,98.368,91.254,85.7783
"RASSF10",3.1794,2.5565,1.5322,0.7253,1.0788,1.9076,4.4446,0.5097,0.6782,1.712
"GJB4",0.6703,1.3606,0.1266,1.1998,0.665,0.5369,0.1377,0.3665,0.1097,1.0009
"BLOC1S2",23.1005,24.6619,25.2792,24.247,24.2797,42.9817,42.9713,20.0369,19.4898,21.3496
"IL1RAP",1.2562,1.4655,1.8824,1.2905,1.0261,1.7439,1.0725,1.7264,1.0969,1.1969
"TDRD7",29.4751,20.0492,38.7861,29.5071,32.9342,38.5379,40.5777,23.6746,39.923,28.2579
"KIAA0895L",5.187,3.597,3.1535,6.6462,4.5977,3.3712,3.16,5.9093,6.7923,3.8636
"HLA-DRB1",690.2054,581.8503,783.6707,814.2127,355.6788,1123.6519,748.6086,991.3912,224.4338,991.169
"AKR1C3",80.0561,31.3222,37.1637,57.8785,68.0879,74.0726,126.0884,33.4679,38.2314,25.7895
"ZNF250",3.0468,2.1508,5.1814,3.5325,2.2386,4.2254,3.1447,3.4893,2.348,2.7995
"WDSUB1",16.1046,8.9283,20.2691,13.9992,13.2903,21.7624,17.1103,11.84,13.8297,14.9729
"ZNF79",5.0014,4.4288,10.8807,6.1847,4.6096,8.1495,4.0027,6.047,3.3733,4.6192
"S100A4",256.603,235.7493,438.5136,191.2682,151.3033,521.5083,509.2283,327.2518,199.8552,270.5883
"PLEKHG4",4.4284,3.2318,2.7319,2.1279,4.0428,1.8301,1.4745,4.572,3.5251,2.1343
"FAT4",2.8263,3.5851,14.4111,4.1686,1.49,5.1027,1.1251,10.2851,1.2667,5.3465
"ACADSB",35.4987,19.7271,37.9643,22.1129,22.5056,34.2965,28.7214,24.7069,26.9975,14.1922
"STK40",53.1018,98.3923,59.4073,46.5274,74.7319,56.2852,25.9709,81.1455,41.5374,64.5186
"CTSE",65.9607,57.1396,16.2963,55.5555,36.7729,49.7513,43.3807,16.5978,34.1246,40.6485
"SEMA4A",9.5928,8.3833,5.6703,10.3909,5.9567,4.9116,3.9259,8.1375,2.9023,10.1468
"MPHOSPH8",36.332,26.2849,59.198,46.1886,33.4022,38.7686,17.879,39.4621,32.0085,33.6483
"ZNF766",5.2203,4.6795,8.7929,6.0312,5.3664,5.8149,3.2697,5.2285,5.1534,5.0427
"FAM217B",8.2583,4.5263,17.3027,9.6036,4.1643,14.6011,9.685,6.3834,5.9433,6.9171
"TUBB",252.3997,471.7235,469.092,321.0161,424.3377,311.7776,182.587,444.9612,327.1552,452.4027
"LCOR",5.3821,9.3948,6.8344,8.7203,10.1856,4.8948,2.8444,6.9498,12.9021,7.6302
"SUPT5H",48.1432,59.8549,53.1964,47.1948,57.6315,37.5122,19.8917,54.9303,46.2409,47.9978
"XPNPEP3",3.0224,2.9617,3.6665,3.3754,4.4234,2.5101,2.1811,3.8422,3.3851,2.6365
"PPIA",130.4698,128.99,111.3679,96.6275,155.44,143.3805,206.9072,129.5739,138.644,128.9931
"SUPT3H",3.1313,2.0613,6.1058,2.3079,1.5807,4.3666,2.7878,3.5454,1.1007,2.6423
"NIF3L1",38.0863,28.0818,36.1434,29.7082,40.8839,42.3587,51.2892,27.779,38.2476,29.2151
"IARS1",36.2683,45.6094,50.7399,28.3666,49.5462,35.2256,23.9239,51.763,37.2049,33.15
"POM121",10.5134,13.0235,11.2242,8.8505,11.9818,7.0244,4.3667,16.91,8.5918,8.8396
"CD55",35.7721,57.9832,49.8069,30.3175,23.9074,41.4293,26.818,96.0392,31.7533,31.1399
"WDR5",27.0651,42.9304,35.3411,27.2545,51.7727,31.124,18.011,36.9291,36.1803,36.0861
"LONP1",42.5509,53.0259,38.9851,33.0836,67.0799,33.2147,19.0492,55.3375,40.627,45.433
"TRRAP",9.9377,14.6654,13.9052,12.3335,14.0425,5.636,3.1167,16.0466,12.7713,11.3875
"FUT4",16.345,25.8356,14.4083,9.5606,28.7583,17.8738,10.4812,23.3065,22.7554,16.5701
"ASB13",47.3133,28.2208,44.5347,58.5222,64.3239,50.1063,60.639,28.4648,53.4853,50.5357
"PTPN1",38.2739,60.5897,47.1658,50.2751,52.4471,38.9814,23.6059,64.5859,50.9824,46.3941
"EVL",9.8806,7.8773,10.1861,15.0916,3.5272,8.1426,4.0095,10.2252,3.0389,11.0506
"THEM5",1.799,2.1496,1.4173,1.6869,1.6543,1.0683,1.4845,2.8265,1.092,1.4227
"EPHB4",37.2521,33.97,34.2534,25.1486,57.2198,28.7108,18.1868,47.7896,28.6696,34.2413
"XRCC6",292.3134,344.5917,322.9056,242.6358,358.4257,359.7916,289.1097,366.6017,260.7493,301.0553
"S100A5",0.7797,0.8128,1.3992,0.4804,0.8574,1.1866,0.5073,0.4726,0.6064,0.6584
"PPP1R26",18.6131,16.8995,21.6174,17.3879,18.3483,12.2118,7.1199,19.9368,15.2893,16.856
"TSC22D2",9.1974,14.5028,10.0918,13.0193,8.5083,8.2594,4.2922,23.2549,8.5781,11.6535
"ZNF569",2.0922,1.5985,4.5561,2.4329,1.0625,4.111,2.2599,1.9943,0.7267,1.8832
"ARMCX4",1.7018,2.3028,3.9644,2.7308,1.0286,2.2297,0.7895,4.4917,1.3294,2.1148
"YRDC",28.5869,33.6758,17.5605,20.2589,27.5411,35.7824,31.0286,38.7514,23.4542,26.6193
"ZNF777",17.6343,20.4899,19.568,14.3913,21.3283,15.7145,8.8819,21.0914,13.1148,19.658
"PIK3R4",15.7843,18.062,24.8892,16.8674,18.2523,13.9559,6.5094,23.4473,16.5786,17.0302
"ZNF605",2.2634,1.1428,4.6104,3.0477,1.4592,2.7139,1.4022,1.9752,2.3714,1.9215
"TRAPPC2",5.0969,3.7301,8.113,7.1789,5.4407,8.1622,9.8453,5.3475,9.2123,5.8575
"MYL6B",13.4745,8.5865,13.3796,10.2164,7.7938,14.51,11.5535,11.3198,5.9326,10.4853
"ZNF799",1.935,1.3446,2.8934,2.28,2.1467,3.6192,6.0454,1.6544,2.8529,2.1954
"SIAH1",3.9914,3.5331,6.5061,5.3951,4.2071,7.059,4.2819,3.6009,5.4145,3.7819
"NCOR2",35.2359,41.6287,49.3469,34.9773,35.368,23.0873,9.6293,56.1442,38.1422,41.8563
"SULT1A1",8.2324,12.218,8.3847,11.4984,23.6224,8.9873,22.7165,6.7925,36.5974,16.7033
"PRPF40A",27.5085,31.6258,36.2968,28.8984,34.4469,31.6187,20.0957,31.1907,34.0817,23.2581
"GDAP2",3.9348,4.552,4.8291,5.3945,5.2653,4.3392,3.7168,4.4263,6.3545,4.2134
"TCEAL3",27.472,24.3499,37.4775,19.8044,10.8737,41.4009,13.4881,28.5425,9.2474,24.8351
"ANAPC7",11.8945,13.4229,16.6884,12.9622,16.9159,15.9326,10.5354,14.3662,13.0548,13.8818
"TPK1",4.3328,6.7554,3.7575,4.0243,7.4906,4.1415,5.0334,2.4452,7.875,4.2496
"SLC6A9",8.2399,17.1469,14.6812,16.1737,17.9016,8.2262,6.5798,18.7151,23.8365,22.0675
"AFAP1",4.6091,4.4232,8.4801,3.7004,4.1288,4.7041,1.7504,6.8244,2.9371,3.2609
"NACA",116.1616,83.3421,126.098,80.4367,92.297,138.1723,99.5498,101.4793,77.6209,85.7683
"MYO18A",17.6871,21.6531,17.3099,22.9318,20.6112,7.9661,4.7221,23.4245,20.9019,19.1368
"BORCS6",11.0988,10.0936,12.5967,10.5034,17.7834,12.6669,10.0374,9.4269,18.2128,14.3947
"MAN2A2",11.6049,9.3984,18.8482,13.1553,8.6263,9.6634,5.7307,18.4543,8.733,9.0886
"MME",2.1482,1.821,1.8752,3.9022,0.8009,1.2208,1.1813,2.1386,0.6075,1.7862
"CACNA1H",23.3029,33.9419,88.1365,29.2314,4.4729,47.0705,7.0904,80.4799,5.8096,40.3367
"SULF2",55.9791,51.4885,34.728,48.6576,58.0985,35.7039,25.5023,45.1846,65.8119,44.9346
"LAMA2",5.5085,6.8797,15.4003,6.0944,2.7535,5.0069,1.7984,12.3201,4.2993,5.2077
"PLXNB2",120.9596,142.0031,125.6117,124.9613,195.604,67.9858,44.1964,154.5743,172.6563,158.5661
"XRCC2",0.5904,1.2198,1.1729,1.7616,2.2358,0.9947,1.1798,1.1501,3.2469,0.8332
"MYO6",23.7788,25.0822,22.5146,25.9335,30.4509,16.9034,14.4235,22.9883,37.4734,18.714
"MRTFA",16.5691,19.0023,17.1736,17.3065,19.3438,12.3185,7.1349,19.2173,13.8629,21.0043
"HDAC2",17.8982,18.5137,21.1825,15.0874,20.9778,22.7261,14.4573,18.4334,16.8317,15.661
"MMP1",2.2228,11.342,2.69,2.4078,1.7053,2.4779,2.657,10.5535,1.0855,4.4783
"UGT2B15",13.3447,17.7911,45.0641,57.8203,38.7226,13.5136,51.3795,74.4326,20.8307,29.7278
"TCF4",6.0121,5.7567,17.4452,8.5154,2.0463,9.34,2.6524,10.4892,3.1651,6.6085
"SDHAF3",42.6733,27.0609,41.1551,28.7447,46.7293,68.3097,97.7987,36.1864,39.5861,25.3557
"HRH1",11.3279,17.516,13.1199,10.285,9.5669,14.3209,10.9513,28.29,9.9385,10.4606
"RABL6",31.7985,36.0972,27.9413,33.3643,54.7706,25.805,22.0337,38.0299,48.728,40.8516
"ZKSCAN5",5.4947,4.8839,9.8445,6.6917,5.5601,7.22,4.6496,7.1535,5.0991,6.7715
"TRAPPC4",20.7207,24.071,18.2104,18.6246,28.5954,27.0173,28.4652,16.058,24.139,16.4334
"TTC30B",6.1685,5.3393,9.6491,6.0279,6.9893,8.8561,9.8763,4.4862,8.6977,5.1089
"TECPR2",9.2492,9.3752,17.0537,10.1272,7.3539,9.4408,3.476,14.9407,6.9445,10.3929
"ERI2",6.0581,3.5107,6.0708,5.1586,6.6331,6.914,6.7555,5.1042,7.7,3.8861
"TOMM7",206.1893,185.2577,249.6509,169.4575,151.7232,322.9694,280.6822,228.5821,132.8184,233.507
"HSH2D",14.3326,14.4704,8.0706,20.5724,13.7347,7.8936,12.1538,9.9689,17.0696,12.9426
"TRPV1",1.9015,0.558,2.9648,2.8799,1.6443,1.1097,0.8888,1.5249,3.575,1.1317
"ZNF512B",5.6547,4.8555,12.9739,7.1778,1.8943,5.6372,1.8063,10.1398,2.2254,7.1275
"ZNF431",2.1413,1.3902,3.3766,2.6439,1.6988,2.6989,2.8801,1.573,1.9288,1.7021
"ALKAL1",1.3406,0.8384,0.4811,0.3965,0.4212,0.748,0.5233,0.5107,0.0695,0.1811
"NF1",7.2388,9.6785,13.5553,8.0771,8.5712,6.8178,2.8539,10.219,9.0542,7.1463
"VKORC1L1",33.8175,30.908,38.279,22.7396,35.0182,42.6801,30.1853,33.7538,32.7516,26.4871
"DAPK1",15.052,12.81,34.552,14.2235,3.8324,19.4674,5.7747,26.0247,5.2926,15.4717
"HLA-DQA1",53.5489,39.0823,54.4124,76.1934,10.9591,80.3597,45.1212,46.0387,14.1485,58.2931
"COL27A1",1.4144,1.0801,2.8381,1.8441,0.329,0.9295,0.4258,2.6255,0.7182,1.0721
"GM2A",54.3147,56.512,62.5874,48.9835,40.7199,66.7433,38.7035,61.8303,35.5305,50.4594
"H2AC13",3.5448,0.6334,2.3626,4.1933,4.391,4.1612,4.6126,2.1045,7.7191,7.9018
"S100A2",0.659,2.3356,1.1235,0.9258,1.1491,1.6046,2.0153,1.8145,0.8713,1.4357
"CD47",35.7917,27.9493,51.4242,35.8072,29.6464,52.3181,46.4932,40.4519,35.9046,27.69
"TLE1",29.663,57.3926,32.1173,24.331,50.1889,21.7656,20.7054,42.9108,29.3018,36.5758
"MAML3",13.2663,8.3224,11.6679,12.3543,9.566,7.2193,4.7174,12.5075,10.6111,7.2142
"H2AC11",1.7434,1.062,1.3001,2.7118,2.9449,2.6185,4.2426,1.4585,5.9869,3.0971
"STRN3",18.0996,17.9245,35.6816,22.1055,16.0147,32.9135,12.2166,24.5402,18.7044,18.6825
"ZNF239",2.8223,2.8148,6.5582,2.3418,2.4304,6.1795,2.9856,2.7635,0.7895,2.7568
"MVB12B",10.3383,14.108,13.9017,10.0546,11.044,9.2488,4.118,14.4509,8.2206,13.7079
"ADA",6.7647,4.1966,6.0855,8.2596,1.8803,4.2224,5.357,4.2773,2.5952,6.2846
"PPTC7",27.2058,31.8785,34.282,34.8752,28.5472,32.2359,16.2898,32.9955,43.0829,27.1758
"LAMB3",64.1756,282.6158,46.3657,91.62,138.5483,31.2121,27.2607,139.5829,88.1053,112.69
"KPNA5",2.6235,1.2417,5.8364,2.8105,0.7065,5.2211,2.0668,2.378,0.8814,1.6998
"ARHGEF12",18.4089,23.7932,34.5268,23.1316,24.9927,19.0147,7.5537,30.4171,24.8443,19.2974
"PDLIM7",68.8149,102.1149,225.3079,75.5168,13.2594,133.2659,42.6741,159.9873,8.8822,115.8285
"FLNA",624.8007,1689.6812,3236.5807,1060.0687,152.0212,1274.3008,162.3618,2820.7318,98.7708,1760.6782
"SRGAP1",1.95,2.5447,2.5824,2.2659,2.0667,1.3418,0.695,2.3851,2.9816,1.9837
"FAM3C",46.502,43.6372,43.9161,27.7796,35.8098,66.6297,31.0655,37.0891,40.1911,26.5619
"NOP9",12.2197,22.2764,15.5153,11.1031,20.7231,9.7976,5.3624,18.8775,12.8984,13.893
"SLC39A10",4.964,4.3911,9.5946,6.0768,4.7897,4.9985,3.6226,7.2923,4.9603,3.9552
"CASP4",18.9099,11.3051,11.9599,12.6697,9.8119,18.3307,26.4862,10.7843,9.511,11.7255
"AP2A1",30.5931,40.8516,33.9574,29.7978,52.3791,23.3525,14.0279,39.894,37.5824,37.1531
"FUT11",6.2167,6.6415,10.0044,7.3417,6.8635,7.4295,4.7783,8.9737,4.7302,7.3786
"ANXA4",52.5558,61.4824,53.7983,50.2986,77.2062,66.1807,72.7333,52.8761,99.1054,50.4611
"LAGE3",33.873,36.1459,26.297,26.5119,43.8662,31.2047,43.4483,35.0256,25.8005,37.3677
"WDR5B",3.7812,3.1983,6.6766,4.6265,4.3267,5.9194,4.4487,2.7989,3.3447,3.0357
"WDR45",10.1214,7.4256,9.5291,8.9926,7.2468,10.312,8.3375,9.2972,5.135,7.8787
"METTL9",37.1032,34.8398,43.1495,26.9767,33.2715,56.9175,56.2031,33.5172,27.5107,29.3097
"SERTAD1",38.2811,62.8075,20.4408,39.6163,25.5051,53.9005,59.4829,104.8162,19.8857,60.3373
"EOLA2",12.704,14.4596,12.0843,12.3454,17.0596,16.7457,16.6969,15.6932,12.3583,14.4007
"ZNF398",6.1094,9.1813,11.3832,7.1457,7.8527,7.4521,4.4165,8.5304,5.8951,7.2711
"ANXA6",81.8465,99.0846,192.9894,105.8288,30.406,128.7214,39.4255,161.5206,26.2826,121.3762
"ZNF420",4.4359,2.2141,8.1167,3.9725,2.4967,7.91,6.829,2.4017,1.5743,3.2792
"ZNF763",1.5873,0.4826,2.1362,1.8093,1.8545,1.6858,2.2807,1.0136,1.183,1.223
"MAFG",20.2083,20.6583,19.9187,20.5534,13.6047,17.7053,7.0072,31.6704,17.4019,21.4708
"ARRDC1",29.5312,26.3257,15.316,23.5725,44.2904,19.3701,23.8749,23.1267,34.6851,28.2063
"KIAA1671",17.5586,25.4016,20.4525,23.4569,34.2464,8.9881,5.6011,21.2436,41.9498,20.6769
"IGF2R",20.0211,30.4678,28.2936,30.8204,34.0393,11.793,6.291,34.5805,36.2606,26.9335
"DYNC1H1",18.0862,34.9885,42.761,29.4218,29.4728,14.763,5.0345,46.6128,27.0202,29.8916
"PCBP2",40.4541,35.1921,43.8268,34.5091,39.8975,39.9149,30.7447,38.2308,38.7395,37.5058
"ZGPAT",2.8599,3.6824,2.2229,3.5279,3.5172,1.8153,1.612,3.6546,2.9022,3.8586
"SLC25A29",4.7687,4.8778,3.6339,3.0047,4.2624,4.0604,2.3859,4.1584,3.682,3.0503
"PGAP1",4.048,3.6285,9.1549,4.3978,7.5516,5.194,3.0026,6.7939,6.2343,2.5645
"SRC",48.6173,50.8388,50.2195,51.9236,58.5411,37.0984,29.3407,47.3191,53.2005,48.1386
"PCNX3",26.1172,33.5104,21.4429,30.3129,53.3996,15.938,12.498,32.6589,36.6672,31.177
"ACSL5",152.5182,174.8681,143.6157,212.8091,213.0187,102.9228,109.5289,150.8269,264.6521,154.1124
"LRRC8B",6.267,9.1658,7.2206,4.884,8.2997,7.8956,4.3381,8.8994,9.2303,5.2262
"ABCB8",8.2341,11.0169,8.4207,9.1095,16.077,7.3569,7.3561,11.7412,14.4031,11.9481
"SND1",91.8179,116.1956,86.6496,61.4616,104.3732,61.4459,53.586,109.6113,83.2212,86.0707
"PSMD12",21.8003,35.476,32.2736,25.7912,32.789,35.8874,20.8847,32.974,32.1879,22.5529
"PIWIL2",4.875,2.1103,1.8802,4.333,2.5527,3.1619,3.2122,2.3065,2.2651,3.3021
"NOL4L",20.8563,15.8602,23.4726,30.2017,27.0313,14.4409,10.5104,25.7585,29.1945,23.1267
"SLC22A4",3.913,2.9662,4.2666,8.6375,6.5114,3.9601,5.2379,4.3378,5.1253,4.5908
"ENTPD4",24.663,25.6616,22.6525,30.3066,29.5278,15.2427,10.5158,25.7966,33.8903,23.1384
"C1D",13.9613,10.2178,19.6417,14.3685,11.6637,30.4867,28.0408,11.6399,14.9142,10.2513
"SERPINA1",186.4919,100.0901,99.4507,97.6877,162.1366,123.4777,165.8334,93.6025,127.9422,72.5735
"TPSB2",45.0227,71.3394,35.2399,38.4012,33.0138,24.2199,33.7934,54.8778,17.0969,59.9643
"KANK2",105.5637,101.2476,326.7055,86.596,24.9729,198.6622,42.1617,194.4603,18.079,128.7659
"GTF2E2",27.012,33.177,23.314,25.5184,30.1304,33.803,28.3917,25.1514,27.9485,28.3902
"GUCA2A",1466.7841,2349.1959,1107.8321,2539.2233,3045.6195,2591.0622,3337.7107,1358.3272,3088.1773,3395.2397
"RAD54B",0.3735,0.4093,0.4297,0.3399,0.4965,0.3206,0.6855,0.4179,0.5214,0.3979
"ZNF165",3.8502,8.7443,2.8726,8.4498,8.3081,4.1012,4.0344,28.8855,8.7307,8.6647
"SYNGAP1",6.0502,3.9069,8.4268,5.3878,3.0223,4.5987,1.8821,7.8399,2.6901,4.7771
"FITM2",16.2914,10.7737,16.5919,13.0865,19.0587,14.4222,14.1232,18.0813,17.3099,11.2762
"BLM",1.8752,3.0315,1.9502,3.3613,3.8522,1.4792,1.7329,2.7594,3.5953,3.0633
"DDI2",7.8185,8.7598,12.4232,10.4599,11.5602,6.162,2.8905,9.2793,9.9357,8.5579
"SVIL",75.8587,88.9344,267.371,104.0398,17.8869,153.4414,21.5697,158.554,18.4443,89.5749
"TRIM33",9.9988,11.2458,23.4149,14.7379,11.4988,14.4485,5.3976,15.1721,13.0029,9.9002
"LRP10",173.9441,278.0984,154.5731,167.7912,301.6491,140.4601,97.7774,211.135,217.3659,221.1593
"PELI1",41.5917,46.9214,47.5725,54.0983,31.6658,47.7522,30.836,63.7707,52.0638,30.0551
"MRPL21",27.3743,37.7807,40.5455,24.6118,59.4877,59.8219,65.7973,38.8207,41.9613,32.4877
"UAP1L1",6.2676,4.0427,6.7514,5.9782,4.1023,3.974,5.1728,6.9439,11.2381,6.4976
"SLC22A5",10.6224,4.2177,12.8901,21.4554,15.2403,8.4597,9.7092,11.028,20.8087,9.049
"ADARB1",5.6221,8.0265,18.239,9.3252,2.5228,8.8406,1.5436,14.3844,2.2157,10.787
"HTT",11.2665,15.6595,12.6296,14.9052,19.0741,7.0723,3.7806,19.8469,16.7275,14.5317
"C5AR1",36.7124,15.5143,7.5869,11.462,3.6935,13.2341,4.5177,46.518,4.3843,9.1081
