"","TCGA-AG-3731-11A-01R-1736-07","TCGA-AF-2691-11A-01R-A32Z-07","TCGA-AG-3732-11A-01R-1660-07","TCGA-AH-6643-11A-01R-1830-07","TCGA-AF-3400-11A-01R-A32Z-07","TCGA-AG-3742-11A-01R-1660-07","TCGA-AG-3725-11A-01R-1736-07","TCGA-AF-2692-11A-01R-A32Z-07","TCGA-AF-5654-11A-11R-1660-07","TCGA-AF-2689-11A-01R-A32Z-07"
"BRMS1L",5.2034,5.1497,11.5062,4.3328,3.0218,11.7372,6.8564,5.9523,3.9854,4.4735
"REC8",3.2072,3.8264,7.2769,6.7608,1.0867,4.9207,1.621,7.1462,3.1126,4.1494
"TM9SF1",2.5833,3.4748,2.5119,1.6645,2.802,2.0643,1.6338,3.4636,2.4243,2.5444
"SEC23A",30.625,36.2439,77.9758,39.9695,29.0863,59.0452,24.6712,53.0815,55.3022,35.6681
"GMPR2",55.2089,38.5886,51.5795,46.2505,52.327,60.7063,64.5683,42.1353,50.6872,40.1795
"PNN",44.7136,39.1141,55.2656,51.6351,43.0685,38.1982,18.2325,51.7828,52.1658,32.8281
"RABGGTA",21.2972,24.4004,17.7412,19.6556,28.6871,18.1066,16.7361,22.5451,23.8945,24.3168
"NFATC4",8.6345,7.3888,16.3931,9.4909,2.8171,12.7625,2.4671,16.7061,2.1319,9.1649
"PLTP",189.6402,76.2747,100.1554,70.4966,29.8181,82.6469,45.2369,127.8747,28.0656,48.9574
"GSS",40.6244,40.4922,28.5685,28.3796,62.7248,30.0104,36.5316,37.7609,42.5492,36.0978
"MMP9",12.5833,26.5044,8.4135,48.1446,3.9876,8.6614,10.8402,36.2526,3.7991,32.9024
"TRPC4AP",85.9049,104.8056,92.83,82.2851,113.3866,85.3178,65.6821,106.4099,100.5893,88.5123
"PYGB",449.3123,488.1814,473.4991,357.7948,554.7163,335.3814,152.6635,463.0672,416.2332,445.2218
"ABHD12",68.9257,50.456,37.1042,44.9214,52.8605,36.4675,33.4188,41.4425,59.3891,65.0793
"PROCR",25.0365,23.9997,37.9228,26.6336,16.1559,34.2154,39.1803,31.3455,18.9575,32.6989
