"from_symbol","to_symbol","combined_score"
"TRAPPC6A","TRAPPC11",0.965
"TRAPPC6A","TRAPPC2L",0.997
"TRAPPC6A","TRAPPC6B",0.928
"TRAPPC6A","TRAPPC2B",0.968
"TRAPPC6A","TRAPPC9",0.995
"TRAPPC6A","TRAPPC3",0.999
"WDR54","OSCP1",0.784
"SPATA20","TYMS",0.825
"SPATA20","HMBS",0.806
"TSR3","TRMT12",0.728
"TSR3","METTL6",0.85
"TSR3","TSR1",0.827
"TSR3","DTWD2",0.732
"TSR3","DTWD1",0.709
"TSR3","EMG1",0.741
"TSR3","TSR2",0.905
"OSBPL7","VAPA",0.759
"CRY1","BTRC",0.871
"CRY1","NPAS2",0.999
"CRY1","RORC",0.871
"CRY1","BHLHE40",0.969
"CRY1","NFIL3",0.945
"CRY1","CRY2",0.999
"CRY1","ABCC2",0.807
"CRY1","CLOCK",0.999
"CRY1","TEF",0.722
"CRY1","NR1D1",0.976
"CRY1","PRKAB2",0.923
"CRY1","TIMELESS",0.997
"CRY1","CSNK1D",0.993
"CRY1","PRKAG1",0.913
"CRY1","ARNTL",0.999
"CRY1","CSNK2B",0.722
"CRY1","SKP1",0.7
"CRY1","PRKAA1",0.923
"CRY1","FBXL3",0.999
"CRY1","ARNTL2",0.864
"CRY1","NR3C1",0.914
"CRY1","CSNK1E",0.999
"CRY1","CUL1",0.745
"CRY1","PRKAG2",0.908
"CRY1","FOXO1",0.778
"CRY1","PER1",0.998
"CRY1","PRKAB1",0.92
"CRY1","PER2",0.999
"CRY1","BHLHE41",0.978
"CRY1","PER3",0.999
"CRY1","NR1D2",0.967
"STARD3NL","STARD3",0.942
"STARD3NL","VAPB",0.854
"STARD3NL","NPC2",0.861
"STARD3NL","MOSPD2",0.724
"STARD3NL","NPC1",0.757
"STARD3NL","VAPA",0.933
"CD74","RPL30",0.98
"CD74","RPS17",0.978
"CD74","EIF5A2",0.765
"CD74","MRPL36",0.971
"CD74","SEC61A1",0.869
"CD74","HLA-DPB1",0.982
"CD74","RSAD1",0.923
"CD74","POLR2C",0.877
"CD74","RPL4",0.982
"CD74","UTP6",0.781
"CD74","POLR1C",0.877
"CD74","RPS4X",0.869
"CD74","RPS7",0.98
"CD74","RPLP1",0.94
"CD74","HLA-DQB1",0.997
"CD74","HLA-F",0.845
"CD74","RPS5",0.981
"CD74","HLA-DOA",0.966
"CD74","POLR2B",0.77
"CD74","RPL26L1",0.937
"CD74","DCAF13",0.785
"CD74","MRPL33",0.967
"CD74","NOP56",0.804
"CD74","RPS28",0.98
"CD74","RPS25",0.978
"CD74","QARS1",0.706
"CD74","MED1",0.937
"CD74","HEATR1",0.791
"CD74","CXCR4",0.994
"CD74","CD44",0.999
"CD74","UTP4",0.788
"CD74","RPL10A",0.935
"CD74","HLA-DQA2",0.992
"CD74","MRPL12",0.971
"CD74","MRPL21",0.969
"CD74","RPL8",0.98
"CD74","RPS20",0.981
"CD74","MRPS9",0.957
"CD74","CTSS",0.981
"CD74","RPL23A",0.981
"CD74","RPL17",0.935
"CD74","HLA-DQB2",0.966
"CD74","RPS8",0.979
"CD74","PDF",0.763
"CD74","MRPL17",0.971
"CD74","RPL22L1",0.904
"CD74","RPS15",0.981
"CD74","RPS2",0.981
"CD74","EIF1B",0.81
"CD74","RPL24",0.975
"CD74","RPL37A",0.972
"CD74","MRPS6",0.969
"CD74","UBA52",0.973
"CD74","RPS6",0.978
"CD74","RPL26",0.937
"CD74","WDR75",0.766
"CD74","UTP15",0.779
"CD74","EIF5",0.84
"CD74","NSA2",0.805
"CD74","LGMN",0.932
"CD74","TUFM",0.972
"CD74","RPS24",0.981
"CD74","RPL11",0.981
"CD74","RPS27L",0.934
"CD74","MRPS12",0.888
"CD74","ISG15",0.714
"CD74","MRPL11",0.774
"CD74","EEF1B2",0.717
"CD74","RPS21",0.979
"CD74","RPL9",0.98
"CD74","RPL18",0.977
"CD74","HLA-DMA",0.994
"CD74","RPL7",0.936
"CD74","IMP3",0.938
"CD74","NOC4L",0.812
"CD74","EIF3A",0.746
"CD74","ITGB2",0.721
"CD74","NOP58",0.798
"CD74","MRPL32",0.968
"CD74","RPL13",0.976
"CD74","RPL6",0.98
"CD74","MRPL2",0.836
"CD74","MRPL4",0.835
"CD74","MRPL13",0.847
"CD74","RPL36",0.981
"CD74","RPL27A",0.978
"CD74","HLA-DQA1",0.994
"CD74","RPS10",0.935
"CD74","MRTO4",0.888
"CD74","HLA-DRB1",0.995
"CD74","RPL7A",0.974
