"","TCGA-AH-6544-01A-11R-1830-07","TCGA-AH-6547-01A-11R-1830-07","TCGA-AH-6549-01A-11R-1830-07","TCGA-AH-6644-01A-21R-1830-07","TCGA-CL-4957-01A-01R-1736-07","TCGA-EI-6510-01A-11R-1736-07","TCGA-EI-7004-01A-11R-1928-07","TCGA-G5-6233-01A-11R-1736-07","TCGA-G5-6572-01A-11R-1830-07","TCGA-AF-2691-01A-01R-0821-07","TCGA-AF-2693-01A-02R-1736-07","TCGA-AF-5654-01A-01R-1660-07","TCGA-AG-3580-01A-01R-0821-07","TCGA-AG-3581-01A-01R-0821-07","TCGA-AG-3587-01A-01R-0821-07","TCGA-AG-3599-01A-02R-0826-07","TCGA-AG-3726-01A-02R-0905-07","TCGA-AG-3732-01A-11R-1660-07","TCGA-AG-3742-01A-11R-1660-07","TCGA-AG-3878-01A-02R-0905-07","TCGA-AG-3882-01A-01R-0905-07","TCGA-AG-3883-01A-02R-0905-07","TCGA-AG-3890-01A-01R-1119-07","TCGA-AG-3892-01A-01R-1119-07","TCGA-AG-3896-01A-01R-1119-07","TCGA-AG-A002-01A-01R-A002-07","TCGA-AG-A008-01A-01R-A002-07","TCGA-AG-A014-01A-02R-A002-07","TCGA-AG-A015-01A-01R-A002-07","TCGA-AG-A025-01A-01R-A00A-07","TCGA-AG-A02X-01A-01R-A00A-07","TCGA-AH-6897-01A-11R-1928-07","TCGA-CI-6623-01B-11R-1830-07","TCGA-CI-6624-01C-11R-1830-07","TCGA-DC-4749-01A-01R-1736-07","TCGA-DC-5337-01A-01R-1660-07","TCGA-DC-6157-01A-11R-1660-07","TCGA-DC-6158-01A-11R-1660-07","TCGA-DC-6160-01A-11R-1660-07","TCGA-AG-3574-01A-01R-0821-07","TCGA-AG-3575-01A-01R-0821-07","TCGA-AG-4022-01A-01R-1736-07","TCGA-AG-A01W-01A-21R-A083-07","TCGA-AG-A01Y-01A-41R-A083-07","TCGA-AG-A026-01A-01R-A00A-07","TCGA-AG-A02N-01A-11R-A083-07","TCGA-DT-5265-01A-21R-1830-07","TCGA-AF-2692-01A-01R-0821-07","TCGA-AF-3400-01A-01R-0821-07","TCGA-AF-A56K-01A-32R-A39D-07","TCGA-AF-A56N-01A-12R-A39D-07","TCGA-AG-3578-01A-01R-0821-07","TCGA-AG-3591-01A-01R-1736-07","TCGA-AG-3592-01A-02R-1736-07","TCGA-AG-3593-01A-01R-0821-07","TCGA-AG-3594-01A-02R-0821-07","TCGA-AG-3598-01A-01R-0826-07","TCGA-AG-3608-01A-01R-0826-07","TCGA-AG-3611-01A-01R-0826-07","TCGA-AG-3881-01A-01R-0905-07","TCGA-AG-3887-01A-01R-1119-07","TCGA-AG-3894-01A-01R-1119-07","TCGA-AG-3898-01A-01R-1119-07","TCGA-AG-3902-01A-01R-A32Z-07","TCGA-AG-4001-01A-02R-1119-07","TCGA-AG-4008-01A-01R-1119-07","TCGA-AG-4015-01A-01R-1119-07","TCGA-AG-A00H-01A-01R-A00A-07","TCGA-AG-A00Y-01A-02R-A002-07","TCGA-AG-A011-01A-01R-A002-07","TCGA-AG-A01J-01A-01R-A00A-07","TCGA-CL-5918-01A-11R-1660-07","TCGA-DC-6682-01A-11R-1830-07","TCGA-DY-A0XA-01A-11R-A155-07","TCGA-DY-A1DC-01A-31R-A155-07","TCGA-DY-A1DE-01A-11R-A155-07","TCGA-EF-5831-01A-01R-1660-07","TCGA-EI-6506-01A-11R-1736-07","TCGA-EI-6507-01A-11R-1736-07","TCGA-EI-6514-01A-11R-1736-07","TCGA-EI-6882-01A-11R-1928-07","TCGA-F5-6465-01A-11R-1736-07","TCGA-F5-6571-01A-12R-1830-07","TCGA-F5-6811-01A-11R-1830-07","TCGA-F5-6812-01A-11R-1830-07","TCGA-F5-6814-01A-31R-1928-07","TCGA-F5-6861-01A-11R-1928-07","TCGA-CI-6622-01A-11R-1830-07","TCGA-EF-5830-01A-01R-1660-07","TCGA-EI-6883-01A-31R-1928-07","TCGA-AG-3586-01A-02R-0821-07","TCGA-AG-3725-01A-11R-1736-07","TCGA-AG-3727-01A-01R-0905-07","TCGA-AG-A020-01A-21R-A083-07","TCGA-AG-A036-01A-12R-A083-07","TCGA-AF-6655-01A-11R-1830-07","TCGA-DC-6155-01A-11R-1660-07","TCGA-DY-A1H8-01A-21R-A155-07","TCGA-EI-6881-01A-11R-A32Z-07","TCGA-EI-6884-01A-11R-1928-07","TCGA-EI-6917-01A-11R-1928-07","TCGA-G5-6641-01A-11R-A32Z-07","TCGA-AF-6136-01A-11R-1830-07","TCGA-AG-3601-01A-01R-0826-07","TCGA-AG-3612-01A-01R-0826-07","TCGA-AG-3728-01A-01R-0905-07","TCGA-AG-3885-01A-01R-0905-07","TCGA-AG-3893-01A-01R-1119-07","TCGA-AG-3901-01A-01R-1119-07","TCGA-AG-3909-01A-01R-1119-07","TCGA-AG-A00C-01A-01R-A002-07","TCGA-AG-A01L-01A-01R-A002-07","TCGA-AG-A032-01A-01R-A00A-07","TCGA-AH-6903-01A-11R-1928-07","TCGA-BM-6198-01A-11R-1736-07","TCGA-CI-6621-01A-11R-1830-07","TCGA-DC-4745-01A-01R-A32Z-07","TCGA-DC-5869-01A-01R-1660-07","TCGA-DC-6683-01A-11R-1830-07","TCGA-DY-A1DD-01A-21R-A155-07","TCGA-EI-6508-01A-11R-1736-07","TCGA-EI-6511-01A-11R-1736-07","TCGA-EI-6512-01A-11R-1736-07","TCGA-EI-6513-01A-21R-1736-07","TCGA-F5-6863-01A-11R-1928-07","TCGA-F5-6864-01A-11R-1928-07","TCGA-G5-6235-01A-11R-1736-07","TCGA-AF-2687-01A-02R-1736-07","TCGA-AF-2690-01A-02R-1736-07","TCGA-AF-3911-01A-01R-1736-07","TCGA-AF-A56L-01A-31R-A39D-07","TCGA-AG-3600-01A-01R-0826-07","TCGA-AG-3602-01A-02R-0826-07","TCGA-AG-3609-01A-02R-0826-07","TCGA-AG-3999-01A-01R-1119-07","TCGA-AH-6643-01A-11R-1830-07","TCGA-CL-5917-01A-11R-1660-07","TCGA-DY-A1DF-01A-11R-A155-07","TCGA-EI-6509-01A-11R-1736-07","TCGA-F5-6464-01A-11R-1736-07","TCGA-F5-6813-01A-11R-1830-07","TCGA-AF-3913-01A-02R-1119-07","TCGA-AF-6672-01A-11R-1830-07","TCGA-AG-3582-01A-01R-0821-07","TCGA-AG-3583-01A-01R-0821-07","TCGA-AG-3584-01A-01R-0821-07","TCGA-AG-3605-01A-01R-0826-07","TCGA-AG-3731-01A-11R-1736-07","TCGA-AG-4005-01A-01R-1119-07","TCGA-AG-4007-01A-01R-1119-07","TCGA-AG-4021-01A-01R-1736-07","TCGA-AG-A016-01A-01R-A002-07","TCGA-AG-A01N-01A-01R-A00A-07","TCGA-AG-A023-01A-01R-A00A-07","TCGA-AG-A02G-01A-01R-A00A-07","TCGA-CI-6619-01B-11R-1830-07","TCGA-EI-6885-01A-11R-1928-07","TCGA-EI-7002-01A-11R-1928-07","TCGA-AF-4110-01A-02R-1736-07","TCGA-CI-6620-01A-11R-1830-07","TCGA-DC-6154-01A-31R-1928-07","TCGA-DC-6156-01A-11R-1660-07","TCGA-DC-6681-01A-11R-A32Z-07","TCGA-DY-A1DG-01A-11R-A32Y-07","TCGA-F5-6702-01A-11R-1830-07"
"TBX2",1.3816,4.9069,10.7931,7.1272,6.6463,1.4281,19.316,5.9517,3.9807,5.3172,5.8805,3.4125,6.6222,6.1618,12.0766,6.4542,33.8792,2.6549,6.5817,17.353,11.7212,22.5321,10.7467,5.0547,8.7839,14.8233,3.666,4.9062,3.7463,7.9648,5.6991,4.3036,4.4951,3.3932,3.6498,3.8061,3.5758,7.7771,4.9536,4.2896,3.5162,3.8244,4.0462,3.6087,3.4397,1.2535,3.4208,6.0211,15.216,13.15,8.1659,7.4333,2.4385,9.1356,8.5448,7.5521,4.7344,4.848,2.6052,9.715,7.9338,10.7763,6.9629,3.8511,11.4944,8.2407,4.4396,5.8027,6.9774,4.9499,4.3955,2.0596,1.244,2.1002,4.5085,4.4179,3.3951,8.7066,3.7701,2.3808,7.1649,3.9796,5.0874,3.819,2.7062,5.8194,5.0524,2.9059,2.7734,2.1256,8.6552,1.9069,22.3427,2.5671,5.9136,12.656,9.8961,2.2518,4.6957,10.2239,3.57,1.6449,4.7778,5.1945,9.2273,15.5162,11.5397,6.4669,9.9893,6.5875,3.0106,5.809,4.22,1.9768,1.9306,10.7869,5.8044,3.4572,2.0818,1.9841,6.5899,6.6428,3.497,3.3396,2.2581,8.445,1.503,7.9757,6.2232,5.4527,5.3534,4.2279,4.2692,7.6805,7.6794,8.8174,2.3861,1.9937,3.5545,6.8721,2.43,7.1618,3.1972,4.9997,4.2321,12.4991,4.1791,12.2848,9.9255,11.5933,5.0792,7.1542,4.9064,11.829,3.6523,10.04,7.7987,4.3957,6.9681,8.7444,9.1245,9.7377,6.1388,3.1747,5.4255
"SLC35B1",28.1301,22.3005,58.1831,33.7633,42.8565,21.3075,27.0632,39.8678,23.5379,33.7875,35.3948,20.9669,29.4306,18.2539,41.2258,27.6206,17.5201,18.3697,29.103,14.3406,17.4202,17.1362,19.9475,29.4163,21.4529,40.6279,19.5359,38.1222,16.0535,19.1642,21.5487,64.9055,40.9538,26.5274,49.3824,34.588,26.8803,25.3133,40.2303,18.8372,37.3196,25.4113,35.5098,41.0896,17.9093,37.3816,16.0506,31.7813,31.5973,23.1381,33.277,29.5133,15.4377,30.4081,28.2557,33.5729,32.8127,36.221,11.004,22.3885,25.2623,30.1818,21.7663,27.3524,30.3998,27.5668,24.5128,21.8676,25.3279,17.5355,20.9087,23.2183,49.2401,20.4693,26.1691,36.5767,19.6883,29.7023,29.0318,24.4412,34.4659,19.3393,21.5979,37.3522,14.5965,43.3524,27.6835,36.7162,25.8618,34.3887,31.3702,15.87,21.297,37.5123,24.4985,31.2331,14.1284,21.0019,23.4237,26.2212,26.659,21.5525,26.1458,41.2963,24.6645,18.6627,24.7594,26.87,23.8533,27.0134,22.9295,16.3843,17.7462,22.255,13.3768,41.9178,27.4266,33.5049,39.6176,22.9555,33.1238,29.437,34.5415,38.5043,34.7983,27.4393,33.6198,31.9829,29.9639,27.0837,15.7258,27.3568,26.9768,50.2397,18.1466,28.9062,27.082,7.2706,13.8076,24.2426,32.2085,31.2535,21.9242,31.4957,24.2837,28.4604,20.4145,25.8165,27.9358,35.2635,25.3172,35.9891,37.0955,29.293,33.9728,32.5827,22.9699,29.6811,24.0921,34.1474,40.3746,26.5173,24.242,34.9637,32.0487
"NCAPH",22.7517,4.4862,21.4884,12.8906,29.138,14.8814,15.7826,15.3104,10.9258,6.7343,11.7027,13.2568,14.8895,9.0846,16.5335,14.7342,7.5774,12.0549,12.0977,6.2354,5.1195,7.8555,10.3657,11.1774,12.554,22.2235,20.0003,14.811,10.3406,14.3523,19.4864,37.2957,17.7077,10.0093,22.8212,17.2915,17.745,19.8532,35.8103,8.9182,9.3356,7.8905,33.5195,24.1728,8.4712,14.5601,7.4025,20.0335,12.1938,8.3237,19.6369,14.8048,9.7525,19.3427,18.9994,14.9041,15.3287,11.5602,6.3548,8.2297,22.568,14.705,19.6599,11.6634,20.5997,11.5261,14.179,10,18.9286,8.5173,5.9951,9.263,26.8293,14.7063,15.8667,30.342,21.7007,15.7333,20.5035,5.5636,36.5471,11.4017,4.6203,9.6546,6.0872,28.2416,21.407,10.93,13.745,11.5794,14.0394,9.0526,9.8,26.3761,20.1415,18.9451,3.5978,9.1524,23.5958,15.3145,24.9583,5.0342,23.4435,10.3099,12.3667,6.6441,8.8618,6.4497,11.1047,7.8603,9.4503,16.5148,10.9227,10.2382,11.3463,22.1749,22.4506,26.8133,12.5137,5.6578,29.1416,16.5534,21.8011,22.5606,20.4322,13.9979,7.7897,21.9239,8.6523,16.3578,16.8334,22.2563,6.6781,10.5886,10.6707,12.4594,21.3063,3.4995,9.8313,9.5729,16.4401,16.0351,7.7473,17.3331,12.8293,15.3226,9.6086,25.5983,15.6688,10.0578,27.5245,18.6726,16.764,9.1436,9.2417,15.6273,15.545,12.5328,8.7679,29.301,8.8844,14.6131,13.3647,9.8126,10.2862
"TENT4B",12.191,5.5673,14.0287,41.0469,11.9407,7.4458,7.4043,6.3281,11.9172,5.8856,11.6673,9.31,5.7354,5.8876,6.0036,7.645,3.6813,4.7757,13.0173,2.0377,2.3479,1.3652,5.5851,3.8928,5.8724,5.8625,6.0606,10.6816,7.6216,5.2502,8.1977,11.9707,15.4637,6.6262,21.2933,6.9788,25.801,17.387,18.7738,4.4132,3.3695,17.4195,14.3056,15.6768,6.0671,6.9742,8.9149,5.743,3.5409,8.4605,10.6519,6.0158,5.4625,11.4952,4.9858,4.9883,4.9211,6.3131,3.635,1.1018,6.1306,4.0548,8.186,9.3262,6.4475,7.0161,8.8482,5.6758,7.0701,7.3096,6.1393,10.9699,10.2961,12.0274,11.9356,10.595,13.7892,9.6343,12.0284,15.5356,16.216,14.7543,13.3993,13.0706,9.071,14.3079,9.3882,25.5128,12.9477,12.352,5.0754,17.247,3.2301,8.1846,13.4318,14.59,6.7334,5.6177,9.8414,10.1635,13.5119,7.5364,17.0639,6.3412,5.6972,3.0051,2.5764,4.4436,4.7641,9.5439,5.957,8.4682,7.0381,12.0092,7.4563,10.2328,6.3007,17.1305,26.1238,6.3948,18.9092,9.1737,17.0225,16.4652,15.8226,14.5019,9.5755,14.4081,8.3651,13.1494,14.0042,5.887,2.8038,4.5117,6.2199,12.0005,25.8665,3.4677,9.7154,9.8125,8.7364,8.5045,9.1484,7.3958,3.049,6.9752,2.9278,17.1989,4.0668,4.1776,8.7804,14.29,10.8288,4.482,7.5115,10.6946,23.8152,11.8728,5.7113,14.5331,17.3915,12.443,9.5246,10.137,14.5198
"ADCY7",3.9258,5.0613,3.4528,1.3172,2.5824,1.5054,8.4605,2.5937,1.3672,1.6561,1.5511,1.3499,4.5573,1.6486,4.0662,1.4463,9.4501,2.166,1.8164,8.65,6.9615,3.1843,2.8493,2.3183,2.3263,2.9939,2.6945,9.1766,0.8444,1.491,1.9647,1.9721,4.0466,2.9595,1.975,0.823,1.4778,11.6333,7.7834,0.8489,2.9451,2.7948,4.0815,5.1984,2.6202,1.5611,2.1191,4.5676,2.7,2.8593,4.1005,2.831,1.9804,1.5138,2.8748,4.075,1.3577,2.0066,1.8257,3.6842,4.1356,4.0164,4.2208,9.0463,4.7568,3.1261,4.5751,2.6428,6.3907,0.5531,2.6087,0.8278,1.2575,2.349,0.8749,2.6591,0.8769,6.0837,18.5497,1.4601,4.3849,6.4548,3.5371,1.6833,1.044,2.1762,5.0507,1.3558,0.9813,2.2562,1.7395,3.5421,30.9267,4.5487,0.9825,3.2776,1.2399,0.1425,2.6458,3.6222,7.1877,0.8223,6.7617,1.9142,4.0428,8.2918,5.9097,2.4808,4.2937,3.0109,2.1975,9.2348,3.394,1.4441,3.655,3.7869,1.408,5.5281,1.3701,0.6368,3.6321,3.5469,4.449,4.4412,1.2751,2.2579,1.3562,6.5817,3.9451,5.2666,5.3786,2.0219,1.1748,2.5309,11.3963,1.785,9.0918,0.215,2.2519,4.057,0.8767,2.6625,2.5488,2.3132,0.9583,4.1493,1.25,7.9934,5.4866,2.1128,2.5727,3.4777,2.9716,1.8315,2.2003,4.7409,15.3447,5.6162,1.5984,4.1702,1.4907,11.4004,3.6727,0.712,4.8511
"CEP89",8.8118,4.7702,11.273,10.3052,12.9707,6.5785,12.058,5.9445,6.6897,6.0314,9.7257,7.4617,7.9032,8.7203,15.303,7.9079,5.8038,6.5496,10.9516,8.7868,8.6098,7.8129,9.5882,7.2451,9.559,11.9585,9.9867,9.8527,9.3409,6.8566,11.3106,9.7159,7.4668,5.2955,9.4361,7.5825,10.6985,14.736,9.7993,4.2266,13.7239,6.9729,12.5468,16.7109,9.5584,5.6973,12.2491,7.3443,6.7894,8.621,12.1753,9.1848,9.6107,11.5024,7.3304,8.3855,10.1767,7.8181,8.9269,5.2151,8.6771,9.3385,10.6006,7.4843,11.6448,10.3344,13.2169,6.8663,7.8024,4.7583,4.997,5.9933,10.3467,10.5052,7.5545,24.126,9.7536,9.3011,10.5948,6.0872,10.3833,7.6776,7.2463,8.1906,7.5027,15.8384,11.7872,5.6795,5.1066,12.6946,6.7472,9.1819,8.9731,12.4557,9.2644,11.093,16.8741,8.6043,11.0834,11.4956,14.7216,7.2396,9.7517,7.5279,7.4372,8.0459,8.6794,7.568,8.5176,6.5512,9.463,8.02,9.0038,7.1963,8.1937,9.5086,13.5879,10.4796,8.3048,5.5152,13.2555,5.7628,10.8155,8.953,11.554,10.6134,5.6348,14.167,5.8948,9.7939,13.572,12.1808,8.4523,9.2428,9.1975,7.8741,10.0051,5.545,6.203,8.1138,6.9911,9.7088,9.8195,13.3636,4.1383,9.2354,10.4297,13.587,8.9996,6.0234,10.5868,13.4414,10.8673,6.2703,9.1521,10.0475,14.239,15.7209,5.776,10.5517,12.448,10.017,10.2855,7.5221,8.4278
"ECHDC2",5.6066,12.432,9.7842,11.4857,10.8611,10.0835,13.2622,19.8302,3.5363,14.1888,6.4306,5.2622,10.8236,10.2649,30.2178,8.8989,9.4736,23.6774,12.0035,11.6242,10.5037,8.565,13.041,8.0068,7.7618,8.8948,18.2234,15.6806,8.7655,14.2749,8.7364,9.6752,4.8907,9.0102,6.9019,6.8348,9.0493,12.3729,5.8134,8.7602,4.3372,14.154,10.237,12.1478,13.9982,12.0297,16.156,18.6119,6.6888,11.4312,14.76,18.4638,12.4702,9.629,15.028,12.5315,8.0149,12.6439,19.4323,3.1595,8.5307,6.4337,8.3555,18.8895,14.1996,10.24,7.9289,9.7814,7.6892,13.1946,11.3274,9.6058,7.501,18.2306,7.596,13.091,6.9544,15.1625,17.5552,7.2203,13.0986,7.338,16.5983,5.4065,6.3495,14.2588,13.8199,8.1679,3.9495,13.7482,7.0388,4.6952,15.9533,15.0058,11.7702,11.9369,8.9025,5.3786,13.0088,16.3173,3.8863,26.0901,9.5213,11.3533,9.4729,6.3413,11.5813,11.591,10.1382,4.7286,15.4867,14.4291,10.1917,11.6393,6.542,10.0807,7.8774,6.0646,9.4113,16.3154,14.9506,2.3994,9.3281,14.0806,15.704,18.8089,13.2385,7.1601,5.1892,11.8734,19.1278,11.2083,7.8284,6.2178,7.1613,7.668,10.2499,12.145,8.0987,7.4576,3.1247,5.7416,18.9027,9.5171,9.1838,9.2804,9.7821,8.8219,11.4029,5.9583,7.913,10.0542,13.1188,10.2981,13.7614,14.5721,13.6818,19.3926,5.2744,13.7877,17.1516,13.0479,11.1636,11.0074,7.1718
"PYROXD1",4.9285,8.8313,4.8661,6.6123,9.1538,5.8299,6.0308,10.1432,9.0076,4.7126,4.0319,10.5773,12.0052,6.1319,4.376,7.202,3.0048,7.0923,13.5975,1.6804,2.3897,3.5184,1.9372,7.2121,6.0868,5.3573,5.2532,7.5532,6.1931,3.5604,8.6579,6.0644,5.3878,4.9373,10.6982,7.5561,8.8935,8.616,10.97,9.8708,9.1259,6.2175,3.4766,4.5428,2.7965,4.7157,5.4216,8.6221,6.2556,3.6766,5.1503,7.6228,6.2327,7.8652,4.7164,10.7637,7.8648,3.378,11.0477,6.902,7.273,5.3926,6.6235,6.8063,6.8712,8.0053,1.7865,4.5745,2.2724,3.8761,4.0936,4.5583,6.3196,8.3229,4.2589,3.5887,7.3122,10.384,10.2038,4.3012,16.4017,8.1169,9.2468,9.3879,5.528,3.1143,11.8467,7.7148,8.7017,3.8955,5.4699,4.6257,1.4369,6.2991,3.8801,8.747,1.3656,4.7763,11.0812,10.1429,8.0343,3.2874,3.4427,5.6037,3.3249,1.5038,0.9595,4.0027,6.561,4.9849,3.1491,5.7224,6.1473,7.9088,3.9234,4.8209,12.3621,8.191,8.2772,3.7388,5.0208,4.4951,9.3162,9.205,6.7628,6.4824,6.7001,7.2879,2.8561,9.2605,7.4319,4.7894,5.8225,3.8984,3.0956,7.1004,22.7573,2.1053,5.8047,6.4964,5.5118,3.3643,12.4299,8.2765,6.5764,6.1613,2.7014,16.0505,3.4002,1.6113,3.6478,5.9502,4.2123,2.2278,10.5953,4.6065,6.9815,14.156,6.8295,11.1062,5.9612,10.2067,7.0685,1.5675,6.2415
"KCNJ8",0.882,3.4984,5.6096,7.2264,5.1434,1.6937,38.2321,3.223,10.3708,4.8731,3.5481,1.9516,5.4095,2.9533,5.4334,2.9703,4.5861,1.0844,5.9623,3.6827,4.085,10.1211,2.5701,9.0124,5.1012,2.2531,1.7759,0.8993,0.3361,3.0622,0.5309,3.9491,3.3,3.8704,1.9356,4.1934,5.2403,6.9822,1.714,6.1636,8.3429,2.8121,4.5874,8.0645,6.0095,0.7287,7.8842,3.8932,23.7813,6.1494,7.1439,2.5229,1.6947,3.8613,6.2037,6.546,4.7077,4.7635,1.7595,18.3959,7.188,6.9689,2.8305,2.2363,6.7739,6.1733,0.8352,3.2709,1.9081,2.1225,0.7441,1.6225,7.5494,4.9228,1.3682,4.5817,2.2513,2.5782,4.7958,3.823,5.1125,6.1132,2.9247,3.3637,9.2707,9.2298,3.3751,1.186,2.9749,2.2065,2.3569,0.9288,3.2749,0.5561,4.2348,7.5907,1.3339,0.7095,1.0417,3.8641,12.0204,3.1318,3.463,4.8428,4.0636,4.8707,2.9386,3.7868,12.0015,1.7384,1.6651,1.285,1.446,1.0562,1.6613,8.1269,4.5913,4.9662,3.5967,2.279,2.5934,10.1098,1.7694,4.8533,6.1047,10.3231,0.7086,19.2066,15.7429,3.5035,2.2429,1.8006,4.4809,7.4969,2.449,6.4952,1.2967,2.4222,5.4091,10.9066,5.2809,6.4108,1.1763,2.7946,6.5604,4.3249,6.6265,13.0473,4.695,3.39,8.806,1.5068,1.1936,4.5594,4.0646,9.7039,5.0976,2.9306,4.3002,5.4106,2.506,14.9701,4.8331,0.7808,12.4009
"BCL2L14",12.7935,20.9624,14.9129,22.6628,7.7106,23.2947,9.8147,46.6454,16.4143,15.0459,12.463,22.8655,10.5358,14.7398,7.4948,11.6207,19.7334,25.9507,27.5325,11.77,8.5946,3.48,4.3375,12.7516,16.7454,26.7753,27.0138,32.0254,23.111,8.2226,30.2081,27.3827,13.045,14.5755,17.1706,4.9686,18.6438,11.1641,20.2795,15.181,9.6474,20.6516,14.1857,9.9159,6.7758,33.197,29.2776,16.452,17.3005,8.7851,19.0867,29.3195,42.0249,11.7731,4.6234,36.9319,20.6336,24.2688,62.0492,7.216,26.6966,14.4082,9.9062,21.6324,14.3776,16.8124,5.8205,11.2217,15.699,14.8215,19.7937,9.5043,23.8759,43.4609,11.3619,12.6874,12.548,10.6726,9.1968,15.4319,27.808,7.6475,16.0455,22.9934,4.7844,12.1596,13.6443,10.5492,27.1356,30.0636,15.7204,17.0894,5.791,32.5035,16.3658,9.014,4.646,1.9276,8.0825,24.6578,11.9534,17.35,23.1465,10.448,12.7584,10.2492,18.3617,12.8233,21.3736,24.4272,22.1681,24.7103,10.5558,31.93,19.7755,10.1974,33.8148,14.9925,28.9947,8.2578,15.9302,15.1637,25.9889,6.8365,4.9524,9.3633,15.0499,5.9238,6.3042,19.4309,11.5221,38.7491,13.2343,11.1837,6.2724,12.2209,32.8475,4.7214,10.0853,5.9179,8.3532,5.2174,43.0146,14.9853,12.6437,24.9682,40.3918,10.3027,12.6979,15.5415,8.6128,11.9535,20.979,28.6052,10.2762,8.9588,21.0375,40.7557,13.7643,9.0815,10.2775,4.3026,25.8937,1.2435,7.3771
"PSPC1",25.5583,19.4233,27.0987,35.3195,46.7404,25.7286,21.3933,60.7434,28.5872,24.8841,30.4709,26.7044,35.6417,20.9758,31.3108,29.2012,9.2756,24.6874,38.4263,10.6479,11.6052,15.1378,20.6797,22.6034,32.4287,54.1781,35.5365,28.8301,34.3369,32.7232,85.6573,37.27,44.6677,22.8783,47.709,28.2,40.8231,44.4341,37.0993,19.9433,17.2752,30.6397,34.7286,27.8811,26.1052,26.2405,17.4557,31.2467,21.2976,23.5336,43.5634,35.2099,20.8118,36.1579,36.3251,15.0205,24.6029,20.5001,14.2958,12.063,27.261,31.0105,25.4214,29.7939,28.6049,25.1719,33.9322,29.9987,39.786,20.5736,13.9343,24.9572,34.3652,50.5534,36.0116,32.6511,54.5047,40.687,42.533,27.9444,38.753,28.1669,36.6796,32.5029,25.5788,73.843,42.541,37.0936,54.9435,48.172,56.0309,27.4003,19.1625,27.6427,34.7036,33.4375,7.7962,26.6511,58.8788,56.0666,52.2768,22.6592,45.0836,22.5965,18.0053,15.9549,18.7025,18.5138,19.404,24.8552,21.4305,35.7351,26.667,24.0266,26.1718,35.7385,40.0183,37.6036,23.0686,25.1198,46.1043,19.5037,43.0643,35.379,51.4198,56.574,29.9309,30.0942,24.9802,43.1787,44.5385,13.6096,15.7817,31.3216,28.9971,33.3846,43.2794,14.5681,38.0654,31.9307,63.375,23.7204,30.5234,34.0721,22.4187,27.7498,16.7273,48.2833,29.4576,24.4454,46.7951,37.114,23.3729,20.8772,39.7584,36.8596,36.7918,48.2972,31.3509,34.7098,29.9822,42.349,28.278,19.4625,29.317
"ZSCAN18",0.4383,2.3994,1.0325,1.9161,2.8109,1.2017,6.4182,0.783,3.1927,1.4204,4.2338,0.2821,0.4251,1.1987,2.2633,0.6883,0.5259,8.6366,0.6366,1.3574,2.5513,2.1044,3.1576,0.4875,4.5859,0.3795,3.9591,7.1226,0.2684,3.4644,0.3262,0.3385,0.8826,1.1741,0.4703,0.354,5.8795,3.7866,2.6553,2.7046,0.694,2.0323,0.6085,1.1187,1.4543,2.0703,2.3512,1.2717,1.6271,1.8888,1.1875,0.8102,2.6945,0.7559,6.5378,5.2427,0.5191,0.5274,1.1554,1.7171,5.0465,0.7978,0.9056,1.3243,1.6225,1.5801,2.357,4.7566,0.5652,0.7929,3.0592,0.1339,0.2746,10.7055,2.5533,5.3741,4.3987,2.7345,1.1502,2.9914,0.4178,4.0367,4.888,2.5447,6.6359,0.9476,8.3232,0.8553,0.2948,0.6374,1.2193,1.064,0.3772,4.7824,0.9182,4.0097,3.1411,5.8293,4.1726,5.3255,2.2284,0.4505,0.9156,1.4292,3.5083,3.1584,0.8606,4.4235,4.2777,4.2907,2.5573,3.6903,4.3648,2.4828,2.1167,3.1417,4.2658,2.6834,0.7582,0.8877,1.0676,0.6723,0.5435,0.347,8.3658,3.6238,1.9212,3.3441,2.8219,4.2785,1.6147,0.7086,0.4588,2.0127,4.4059,1.9359,2.3214,2.1331,7.0057,4.4213,0.9647,5.8688,1.7464,1.8837,0.3918,2.9521,1.9552,2.1729,8.4789,2.7246,1.241,0.486,2.2794,3.5648,7.5275,2.2839,9.4457,1.4948,1.5751,1.3863,7.8456,6.164,7.5119,0.2762,4.5481
