""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"," Hour 029"
"SLC27A2",4.342774045,4.564991652,4.525064258,4.477755226,4.628656117,4.476073487,4.519324893,4.359739374,4.414493739,4.537139148,4.331372004,4.472222084,4.515303901,4.527352058,4.522114665,4.513868794
"KIF2C",5.007870488,5.114575172,4.874034122,4.830762146,5.134276648,5.038114183,5.132881924,4.905863205,4.878986834,4.947226026,5.183102189,5.080856083,4.951658006,5.051850539,5.154653505,5.016402704
"SPINK5",4.335533411,4.026069228,4.328673504,3.96452979,3.976318731,4.136963445,4.09564341,4.157069657,4.025461748,4.067320536,4.280475186,3.698799016,4.063992443,4.01890177,4.173420787,4.008992954
"LILRB4",6.48861204,6.506040978,6.76930131,6.925103453,6.688812653,6.624435854,6.729193241,6.812265466,6.52555483,6.528895006,6.800247994,6.500940183,6.430219579,6.550412074,6.299692227,6.776576419
"IL24",5.371579327,5.118176546,5.251253314,5.644445556,5.366783336,5.334550277,5.604708237,5.366947501,5.043361669,5.349005472,5.081853508,5.422347444,5.027635408,5.028466171,5.131665752,5.259963998
"GLIPR1",10.07126391,10.32312566,10.18458728,9.834644018,10.4611875,10.09665802,9.898346667,10.27885904,10.15394568,10.25640262,10.16527093,10.0249416,10.31952868,10.28531764,10.21157669,10.35847811
"TLK2",7.939701331,8.098296344,7.890280849,8.049990487,8.221063216,8.08086353,7.918650421,7.992970233,8.098145699,8.017343577,8.186645267,8.038020295,8.260242139,8.12140316,8.179527096,8.215288649
"KLK11",6.510674724,6.287495969,6.389306615,6.384047721,6.36865235,6.496754998,6.407374024,6.466473621,6.303034271,6.278920255,6.644313261,6.460140841,6.283594666,6.343143178,6.540878938,6.357350979
"KDELR2",10.11669951,10.29199012,10.14140488,10.44092132,10.61739048,10.32147863,10.39576383,10.31319995,10.350245,10.11131927,10.22684768,10.28830808,10.37950281,10.34624899,10.28592903,10.25936779
"KDELR3",4.378911428,4.268578868,4.243571405,4.155005452,4.369867125,4.254217446,4.263053069,4.230131913,4.087071505,4.281540279,4.297543012,4.315344671,4.136276065,4.158948997,4.288395575,4.208451977
"ATF7",5.221062811,4.927562552,5.068374028,5.091451443,5.223832959,5.146153483,5.000648319,5.314064939,5.145758191,5.443612476,5.331597837,5.176040994,4.995094237,4.967999581,4.98945728,5.189151101
"SNRNP27",8.015883107,8.482675463,8.287309391,8.431088955,8.721021244,8.366886705,8.137894889,8.352905095,8.45311581,8.22218152,8.1793082,8.019921233,8.505883851,8.22720504,8.385169572,8.199653035
"TMED1",7.086634446,7.47172252,7.107246537,7.103685694,7.758718446,6.874515655,7.457537413,7.268972788,7.267884928,7.46376527,7.227107323,7.282076214,7.71464284,7.436084596,7.549915537,7.376825827
"LIAS",5.455283479,5.389471011,5.434943233,5.133110199,5.702420705,5.495642651,5.193108572,5.30468001,5.514972401,5.716494105,5.14190005,5.216901613,6.104566386,5.284012018,5.762385678,5.570030498
"CHAD",5.304983347,5.182764021,4.918454346,5.127890768,4.986462634,5.238040644,5.051877732,5.038723814,4.905143039,5.044907361,5.098854363,5.113546419,5.056218792,5.221234871,5.031965336,4.939067869
"IFT27",7.064104634,7.226655372,7.291080342,7.45544115,7.611024857,7.131596171,7.030835941,7.084821948,7.331440391,7.228435706,7.124826821,7.244782239,7.430671535,7.296767605,7.426776146,7.315025829
"RAB35",7.179009649,6.781316993,7.24915146,6.655445249,6.449457867,6.955953733,6.923666003,6.730886327,6.615749593,7.154431195,7.015139763,6.988412211,6.728896491,6.832347286,6.703301706,7.422278781
"TDRKH",4.379524439,4.432824236,4.489589133,4.711333719,4.79402926,4.392167048,4.237760849,4.356617809,4.406291074,4.382771211,4.351118031,4.50119967,4.335398658,4.481875634,4.446011194,4.355858939
"LILRA1",8.23324802,7.909691137,8.158551803,8.143117528,7.605024388,7.997579699,8.18814793,7.83671754,7.880707642,7.80420181,7.945623761,7.942719178,7.478832755,7.980898608,7.574708029,8.143331844
"LILRB3",11.44818839,11.04799811,11.55396646,11.04720256,10.93724971,11.13670613,11.1707086,11.37198035,10.89641969,11.14115412,11.43352041,11.24639506,10.83008151,11.0837317,10.88672947,11.35771181
"LILRA2",10.79062484,10.67810999,10.78981299,10.57345155,10.25267376,10.72467499,10.75199849,10.57195931,10.48940341,10.35912471,10.87161893,10.63112182,10.27051691,10.6851189,10.31272904,10.80459318
"RCBTB2",9.895817205,10.43813527,10.1247507,10.4332145,10.37713308,10.30967079,10.24839107,10.6536394,10.39640138,9.857598371,10.46370624,10.24900381,10.2969952,10.47231764,9.988051928,10.38039722
"RBPMS",4.131715925,4.022284358,3.929869904,4.080054555,4.071791756,4.021799163,4.056318871,4.001366723,3.911113899,3.964310396,4.226098836,4.16800997,4.009030546,4.026107295,4.003076789,4.002199104
