"SYMBOL","ENTREZID","Description"
"MCRS1",10445,"microspherule protein 1"
"ACAA2",10449,"acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)"
"CDX1",1044,"caudal type homeobox 1"
"PPIE",10450,"peptidylprolyl isomerase E (cyclophilin E)"
"VAV3",10451,"vav 3 guanine nucleotide exchange factor"
"TOMM40",10452,"translocase of outer mitochondrial membrane 40 homolog (yeast)"
"TAB1",10454,"mitogen-activated protein kinase kinase kinase 7 interacting protein 1"
"ECI2",10455,"peroxisomal D3,D2-enoyl-CoA isomerase"
"HAX1",10456,"HCLS1 associated protein X-1"
"GPNMB",10457,"glycoprotein (transmembrane) nmb"
"BAIAP2",10458,"BAI1-associated protein 2"
"CDX2",1045,"caudal type homeobox 2"
"TACC3",10460,"transforming, acidic coiled-coil containing protein 3"
"MERTK",10461,"c-mer proto-oncogene tyrosine kinase"
"CLEC10A",10462,"C-type lectin domain family 10, member A"
"SLC30A9",10463,"solute carrier family 30 (zinc transporter), member 9"
"PIBF1",10464,"chromosome 13 open reading frame 24"
"PPIH",10465,"peptidylprolyl isomerase H (cyclophilin H)"
"COG5",10466,"component of oligomeric golgi complex 5"
"ZNHIT1",10467,"zinc finger, HIT type 1"
"FST",10468,"follistatin"
"TIMM44",10469,"translocase of inner mitochondrial membrane 44 homolog (yeast)"
"CDX4",1046,"caudal type homeobox 4"
"PFDN6",10471,"prefoldin subunit 6"
"ZBTB18",10472,"zinc finger protein 238"
"HMGN4",10473,"high mobility group nucleosomal binding domain 4"
"TADA3",10474,"transcriptional adaptor 3 (NGG1 homolog, yeast)-like"
"TRIM38",10475,"tripartite motif-containing 38"
"ATP5PD",10476,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d"
"UBE2E3",10477,"ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)"
"SLC25A17",10478,"solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17"
"SLC9A6",10479,"solute carrier family 9 (sodium/hydrogen exchanger), member 6"
"CLGN",1047,"calmegin"
"EIF3M",10480,"eukaryotic translation initiation factor 3, subunit M"
"HOXB13",10481,"homeobox B13"
"NXF1",10482,"nuclear RNA export factor 1"
"SEC23B",10483,"Sec23 homolog B (S. cerevisiae)"
"SEC23A",10484,"Sec23 homolog A (S. cerevisiae)"
"CAP2",10486,"CAP, adenylate cyclase-associated protein, 2 (yeast)"
"CAP1",10487,"CAP, adenylate cyclase-associated protein 1 (yeast)"
"CREB3",10488,"cAMP responsive element binding protein 3"
"LRRC41",10489,"leucine rich repeat containing 41"
"CEACAM5",1048,"carcinoembryonic antigen-related cell adhesion molecule 5"
"VTI1B",10490,"vesicle transport through interaction with t-SNAREs homolog 1B (yeast)"
"CRTAP",10491,"cartilage associated protein"
"SYNCRIP",10492,"synaptotagmin binding, cytoplasmic RNA interacting protein"
"STK25",10494,"serine/threonine kinase 25 (STE20 homolog, yeast)"
"UNC13B",10497,"unc-13 homolog B (C. elegans)"
"CARM1",10498,"coactivator-associated arginine methyltransferase 1"
"NCOA2",10499,"nuclear receptor coactivator 2"
"ADARB1",104,"adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)"
"SEMA6C",10500,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C"
"SEMA6B",10501,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B"
"SEMA4F",10505,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F"
"SEMA4D",10507,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D"
"CEBPA",1050,"CCAAT/enhancer binding protein (C/EBP), alpha"
"SEMA3C",10512,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C"
"APPBP2",10513,"amyloid beta precursor protein (cytoplasmic tail) binding protein 2"
"MYBBP1A",10514,"MYB binding protein (P160) 1a"
"FBLN5",10516,"fibulin 5"
