""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"PDCD11",7.952084961,7.922157923,7.844761531,8.149750245,7.679429905,7.841501544,7.851031728,7.857153091,7.96106048,7.812935203,7.797422089,7.928261561,7.615995338,7.72673535,7.684736424
"ACIN1",8.753253489,8.880868638,8.717247382,8.992653241,8.730493269,8.734161356,8.881613774,8.965012134,8.75740891,8.757400008,8.462088143,8.767492503,8.53033732,8.626067812,8.672864265
"SORCS3",3.509370478,3.478732241,3.555678171,3.5239224,3.725924772,3.532365224,3.544879549,3.572366361,3.961644446,3.756567906,3.518155488,3.606892421,3.621124413,3.654940786,3.5560351
"MYH15",4.530007135,4.513451427,4.610252762,4.418793332,4.372577326,4.506737529,4.558198801,4.434786591,4.295488309,4.475213651,4.435527372,4.510517051,4.307790772,4.318514097,4.409608659
"KDM2A",9.436718514,9.254370721,8.949682903,9.185490697,8.823941918,9.080148902,8.896953404,8.822178402,8.961925664,8.930712869,8.948862916,9.111294165,8.609056222,8.646765358,8.942873795
"CEP131",6.69793459,6.65616976,6.414340096,6.654710674,6.699406705,6.659092592,6.799523698,6.447307688,6.630727149,6.431738517,6.368575969,6.491649784,6.307885324,6.401902308,6.363244948
"CEP152",4.853202465,4.981721285,4.928300707,4.701111801,4.786611799,5.078978778,4.978122862,5.253045231,4.953252483,4.855536525,4.937523147,4.951763613,5.059111484,5.069078068,5.093707621
"RIMS1",4.052224293,4.1608227,4.36578715,4.037805295,4.227361551,4.114586984,3.967934069,3.97846273,4.071158878,4.060171992,4.085614464,4.121249616,4.131108739,3.961003091,4.184487981
"FOXI1",4.50197639,4.122210803,4.481950725,4.046331412,4.296848509,3.878966262,4.213353801,3.889999943,4.368067996,4.201472772,4.246941252,4.050459178,4.039035314,3.907062001,4.295297173
"ALDOB",4.410092365,4.445339015,4.503449952,4.60376158,4.411717595,4.413229982,4.34244113,4.282422546,4.445721049,4.415427321,4.388936417,4.370208746,4.404448708,4.355575505,4.507286914
"ABCB7",7.758387932,7.677965187,7.805205826,8.076718951,8.001768889,7.939868148,8.110657053,8.181543666,8.274931955,8.014006917,7.915719204,8.120783845,8.119300018,8.208236133,8.151029221
"WDFY3",8.414061199,8.416790639,8.811617564,7.419213304,8.007206316,8.452487657,7.860424445,7.99993265,6.489471416,8.137291891,8.051600729,6.818232139,8.01863035,8.029285825,6.664384202
"DAAM1",5.819962965,6.133927056,6.229795655,6.507720632,6.421065271,6.326446893,6.755523989,6.845110559,6.827398191,6.51231989,6.558005704,6.637710177,6.8792898,6.741351809,6.944943997
"PLCH1",4.20036637,4.064173849,4.236199217,3.994474901,3.95757357,4.078512723,3.953600639,3.9188071,4.032082391,3.956339533,4.036848467,3.962847459,3.849073359,3.897775968,3.87750052
"KLHDC10",6.278820382,6.424601166,6.105541926,6.270203186,6.715828816,6.164344265,6.566667212,6.683051147,6.572060715,6.558851434,6.192376436,6.426437289,6.600074738,6.602054968,6.830716857
"FOXL1",4.814876772,4.622115887,4.647114128,4.789481802,4.55184005,4.572939797,4.425895054,4.380706428,4.625404439,4.529524788,4.724502088,4.505874355,4.436823038,4.459208393,4.542824109
"RAB21",8.187347772,8.358937061,8.870769158,8.353213505,8.754000096,8.684927354,8.695683405,8.852930661,8.451191806,8.684981664,8.754820349,8.267877265,8.87733684,8.864217659,8.557157351
"STK38L",8.019714611,8.22495324,8.597137655,8.036201104,8.519835335,8.606913004,8.715324418,8.861108909,8.173322748,8.595622155,8.80939332,8.149266331,9.028916115,9.135519805,8.409010822
"SPEN",9.002032309,9.002220076,8.760922751,8.647271085,8.682248784,8.917184214,8.738899882,8.772724537,8.68873069,8.845405845,8.749974759,8.650226424,8.715885616,8.648179288,8.603649059
"FBXO21",8.694494147,8.787119709,8.736488468,8.939061341,8.817679922,8.847051886,8.945248098,8.905235093,9.083789148,8.892230286,8.753345725,9.034167442,8.798348203,8.830425435,8.851368599
"GOLGA8A",9.250491278,9.69153128,9.367211747,9.861390984,9.666156895,9.59437336,9.759402229,9.92347024,10.24316388,9.57968251,9.912515807,9.765435691,9.73369544,10.03361664,9.684467361
"EXOSC7",8.163666352,8.382052496,8.17934418,8.388721625,8.369802391,8.414781463,8.384750583,8.721180341,8.773889231,8.224328202,8.752698148,8.832485055,8.529352046,8.718419985,8.848606097
"FAIM2",5.085691749,5.202135872,5.093619167,5.494126108,5.372080844,5.210281298,5.011458541,5.059219096,5.155935632,5.197978482,5.090784485,5.268909264,5.046043913,5.027265791,5.138262075
"CNOT1",9.464772845,9.654785664,9.392487067,9.711250946,9.235690676,9.270019461,9.253472355,9.360196865,9.345716152,9.390989342,9.309062571,9.368700662,9.214644464,9.244153945,9.332187877
"FOXE3",4.584663113,4.395694665,4.705725326,4.509240542,4.513060638,4.559287055,4.357352257,4.185195567,4.445906631,4.403333413,4.551120484,4.268162396,4.237895907,4.385462961,4.510865347
"SNRNP200",11.43146466,11.46606454,11.32307606,11.65285948,11.22885399,11.33050775,11.40665719,11.43430206,11.55174914,11.39861563,11.33269994,11.44935091,11.18978014,11.21748614,11.20329324
"PALLD",5.940109096,6.139126252,5.886520875,5.967417666,6.057082144,6.065183513,6.356031922,5.946054835,5.823688991,6.156781098,6.146700223,5.82528318,6.299457353,5.997345444,5.818876997
"TMCC1",8.694134121,8.56954055,8.525799498,7.73497781,8.477416065,8.505562697,8.530715511,8.071848668,7.507585815,8.605659869,7.82121538,7.572345523,8.161325669,7.866190737,7.352597239
"PDZRN3",3.477933803,3.54689555,3.510066684,3.541562634,3.524934536,3.438828001,3.443384684,3.436237499,3.401764296,3.371382492,3.434190693,3.530686192,3.341486872,3.402152255,3.437016388
"UNC13A",5.169717638,5.07082222,4.937132444,5.060468511,5.131716867,4.958640845,4.903848397,5.048435433,4.959567463,4.80703921,5.059864553,5.037571835,4.868172842,4.533836741,5.038821472
"KDM1A",8.446817224,8.424882769,8.348852933,8.772294666,8.312908674,8.370363529,8.510088366,8.545361377,8.722917436,8.444323732,8.368384769,8.499685799,8.352311177,8.40749812,8.411094642
"RBM34",7.184521554,7.570773697,7.470272854,7.737883617,7.699537074,7.767008274,7.807055129,8.162241054,8.234842901,7.535621384,8.380110839,8.235524051,8.007743569,8.370239006,8.136143186
"FOXJ1",5.787181116,5.372421225,5.3209685,5.594763193,5.429127112,5.373755924,5.44405133,5.09045402,5.294441027,5.631050252,5.457198417,5.387589871,5.268045349,5.191661114,5.625026025
"KDM4B",9.823639296,9.799704513,9.638161879,9.326475034,9.405349708,9.565743987,9.440660661,9.19839718,8.956623545,9.56478416,9.231767036,9.010955784,9.124408975,9.046771358,8.818919389
"USP33",8.657523546,8.663979367,8.704551963,8.83164714,8.793580728,8.735024126,8.759410445,9.040096051,9.043768023,8.886751458,8.889099888,8.958852276,8.962143952,9.148305577,9.116195729
"DOP1A",6.559334856,6.690291051,6.840457171,6.8192761,6.722114831,6.62536242,7.007769621,7.104312022,7.084716675,6.719733699,6.896901395,7.057989269,7.142818887,7.235433688,7.179905449
"SAMD4A",4.411905741,4.526705484,4.491262979,4.478509385,4.435033891,4.437103094,4.424253584,4.550258315,4.525162096,4.387486686,4.57399538,4.489217996,4.441658021,4.505846154,4.424099331
"PHLPP2",6.975688231,7.096014491,7.115128365,7.182101159,6.958382885,6.858028315,6.964231749,7.063832551,7.314113075,6.922525703,7.108429517,7.15497886,7.213476396,7.187044451,7.233778017
"PDZD2",3.896729879,3.994356684,3.87742264,4.167997218,3.81355655,3.716603588,3.864682232,3.954324873,3.984088217,3.833523265,4.099461338,4.02145329,3.899057755,4.050037744,3.992486609
"WDTC1",9.409043429,9.164869961,8.867729563,8.925172413,9.071739539,8.995244625,9.031605562,8.514688416,8.736285341,9.148605259,8.574769943,8.888264198,8.76697954,8.609766657,9.054170575
"XPO7",8.092829171,7.872450011,7.921858001,7.870046979,7.679610117,7.726806335,7.5140748,7.523931826,7.501820902,7.765900411,7.730919584,7.712837531,7.721524216,7.60735712,7.958911487
"FOXC2",4.468813526,4.684226752,4.420642002,4.47964805,4.459091615,4.427814158,4.441260779,4.302547895,4.331149293,4.313761082,4.415389107,4.312937461,4.418169971,4.280129446,4.538726615
