""," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"CAP2",4.030582506,4.04344515,4.081327947,4.287341597,4.142754711,4.008221688,4.057726468,5.12947828,4.045675849,4.107652308,4.087310071,4.186723983,4.170852277,4.138236989
"CAP1",12.98957747,12.85887295,12.86601331,12.46078111,12.85356553,12.7998095,12.91701193,12.24507258,12.70241597,12.82958327,12.86611207,12.82083479,12.86983255,12.95770541
"CREB3",7.809700678,7.755666202,8.027878693,8.027615278,7.816625888,8.093421315,7.746931266,7.803577882,8.124932162,8.095646082,8.106752279,8.153888378,7.850115808,8.247539696
"LRRC41",8.520355309,8.340271872,8.441574862,8.586499246,8.396553529,8.35339781,8.33102656,7.162908311,8.118542725,8.072560525,8.314357352,8.585190879,8.351291892,8.451858687
"CEACAM5",4.98573407,4.789741098,4.784616555,4.898642808,4.937135998,5.043196943,4.826645372,4.726955418,4.890824529,5.030319397,4.971924007,4.810871741,4.982142938,4.727202086
"VTI1B",9.807893106,9.533806804,9.591156833,9.958602232,9.594487588,9.903175583,9.652345746,9.053638807,9.789421236,10.2390407,10.24166927,10.09183558,9.886876882,10.08224818
"CRTAP",7.166172982,7.024800427,7.179931853,7.033780134,7.28708653,7.22442686,7.261417801,6.500039407,6.797871027,6.727565739,6.428551061,7.358238493,6.923603216,6.979354179
"SYNCRIP",8.650240732,8.305553517,8.606784104,7.649259224,8.184781023,8.577447267,8.458273457,6.916723108,8.386221831,8.44373442,8.431020314,8.752078775,8.584710473,8.288818806
"STK25",8.111063475,8.041854367,8.469032858,7.97172114,8.105169625,8.282932491,8.094524115,7.435812756,7.915033159,7.672641058,7.95325974,8.34219865,8.000515718,8.135118925
"UNC13B",5.236127942,5.183024375,5.135960902,5.5964715,5.215136978,5.278343191,5.281172258,6.033583874,5.355591783,5.444532857,5.381191233,5.436895798,5.445522215,5.683629749
"CARM1",9.237415974,8.718972711,8.554464891,9.818326054,8.798679904,9.010390281,8.750399853,8.630516363,9.05884731,9.614382447,9.471795756,9.01241206,9.200879446,9.116225588
"NCOA2",5.796151073,5.740695069,5.811134668,5.294237243,5.905686503,5.187311936,6.074344092,5.597646368,6.231838459,6.47209846,5.702757706,5.487809526,5.556373089,5.625196164
"ADARB1",7.100314941,7.200226208,7.117469814,7.098738843,7.152369336,7.082030616,6.987004795,6.726563886,6.988447303,6.959919496,6.944687177,6.992688532,7.020097666,7.11318651
"SEMA6C",6.913928145,6.823797965,6.787437413,7.717288422,7.081632018,6.694679007,6.848372464,7.614516016,7.071492842,6.927184279,7.035178964,6.830844304,7.268047524,7.134815749
